,I,J,K
0,8993,772,514
1,12509,867,489
2,867,504,489
3,918,12510,12511
4,12512,12513,12514
5,12515,12513,12512
6,1223,12516,1202
7,1223,1793,1194
8,1199,1223,1196
9,8811,1793,8835
10,1189,8835,1199
11,8789,8798,9232
12,8789,8804,8798
13,12517,1705,8800
14,8711,8733,8727
15,8750,8711,8768
16,5708,5704,5820
17,518,8756,8763
18,1311,5608,8747
19,5820,5865,5816
20,790,5708,5820
21,5816,777,1529
22,5708,790,791
23,1218,273,512
24,521,518,8763
25,8729,9382,1541
26,5724,5714,788
27,5816,1529,5806
28,518,521,8783
29,5708,8711,8727
30,8835,8833,8834
31,8733,8750,273
32,8768,8711,791
33,790,5816,788
34,501,8779,499
35,8777,8779,1189
36,8798,8804,416
37,8736,8749,513
38,5816,5806,5724
39,8733,8711,8750
40,518,8787,511
41,777,5816,5865
42,8811,8835,8834
43,499,544,501
44,8779,523,499
45,8711,5708,791
46,1705,9233,416
47,8779,8777,523
48,8777,1189,8783
49,5608,1311,9819
50,5714,792,788
51,9819,510,9233
52,1311,510,9819
53,9232,9233,510
54,9232,510,8789
55,9233,9232,416
56,12518,9546,1705
57,12516,12517,1202
58,1218,8800,273
59,1202,12517,8800
60,273,8749,8733
61,1218,1196,1795
62,8800,1218,1795
63,1196,952,1199
64,1795,1202,8800
65,1202,1196,1223
66,1705,513,8800
67,8729,1541,5704
68,516,511,952
69,9233,1705,9546
70,792,8699,8764
71,1793,8811,1194
72,8835,1793,1199
73,1199,1793,1223
74,523,8777,521
75,952,1218,512
76,499,525,544
77,8674,523,521
78,8768,788,792
79,273,516,512
80,8729,8727,8733
81,8735,8747,9382
82,1196,1202,1795
83,8729,8749,8736
84,8800,513,8749
85,8749,273,8800
86,9382,8729,8735
87,8729,8733,8749
88,8756,792,8764
89,8736,8735,8729
90,544,525,8833
91,8804,8789,510
92,8756,518,511
93,519,8764,8699
94,8674,8764,519
95,788,791,790
96,8798,416,9232
97,8835,501,544
98,790,5820,5816
99,8764,8674,8763
100,511,8787,952
101,8763,8674,521
102,521,8777,8783
103,8779,501,1189
104,788,5816,5724
105,792,8756,8768
106,791,788,8768
107,8833,8835,544
108,8787,8783,1189
109,8764,8763,8756
110,8804,513,416
111,1196,1218,952
112,512,516,952
113,8747,8804,510
114,8735,8736,8804
115,416,513,1705
116,516,273,8750
117,511,516,8756
118,8756,516,8768
119,8735,8804,8747
120,8787,1189,952
121,1199,952,1189
122,518,8783,8787
123,1189,501,8835
124,513,8804,8736
125,8729,5708,8727
126,5704,5708,8729
127,12518,1705,12517
128,8747,510,1311
129,8768,516,8750
130,765,6007,780
131,810,8952,780
132,769,5966,809
133,769,770,5966
134,776,8974,8952
135,802,5570,801
136,12519,12520,520
137,778,8974,776
138,470,9543,9613
139,5570,5614,801
