,X,Y,Z,n_points_0.01,corr_dim_0.01
0,-0.049346,0.009674,-0.071578,121,5.95457715674108e-07
1,0.069907,0.011565,0.006788,114,5.610097486516389e-07
2,-0.051892,0.006004,-0.066021,119,5.856154393819739e-07
3,-0.044642,-0.006135,-0.07636,97,4.773504001684998e-07
4,-0.046823,-0.003251,-0.077895,97,4.773504001684998e-07
5,0.045303,0.025384,0.019194,78,3.838487753932266e-07
6,-0.041443,0.004964,-0.078999,117,5.757731630898399e-07
7,-0.044715,0.002952,-0.07896,109,5.364040579213038e-07
8,0.029941,0.024156,0.040034,85,4.182967424156957e-07
9,-0.048023,0.007324,-0.075833,122,6.00378853820175e-07
10,-0.041485,-0.005181,-0.07988,101,4.970349527527678e-07
11,0.038613,0.027292,0.038747,84,4.133756042696287e-07
12,-0.045656,0.008459,-0.077354,118,5.806943012359069e-07
13,-0.040997,-0.006181,-0.08144,92,4.5274470943816485e-07
14,-0.024375,-0.001757,-0.090816,111,5.462463342134379e-07
15,-0.025261,0.003022,-0.091361,136,6.692747878651131e-07
16,0.027178,0.025643,0.039753,86,4.2321788056176267e-07
17,0.075154,0.021258,0.044639,102,5.019560908988348e-07
18,0.026024,0.025465,0.027216,85,4.182967424156957e-07
19,-0.043056,0.005078,-0.077465,116,5.708520249437729e-07
20,-0.017689,-0.000681,-0.096225,137,6.741959260111801e-07
21,-0.032997,-9.1e-05,-0.086491,97,4.773504001684998e-07
22,-0.049156,0.0036,-0.074232,119,5.856154393819739e-07
23,-0.030559,-0.004399,-0.089602,93,4.5766584758423173e-07
24,-0.03522,-0.00615,-0.081435,83,4.084544661235617e-07
25,-0.027353,-0.007146,-0.086569,102,5.019560908988348e-07
26,-0.023719,-0.009494,-0.08749,95,4.675081238763658e-07
27,-0.031349,-0.014132,-0.081108,90,4.429024331460307e-07
28,-0.032954,-0.013364,-0.080344,98,4.822715383145668e-07
29,0.022443,0.028147,0.041289,98,4.822715383145668e-07
30,0.032124,-0.02984,-0.072764,7,3.4447967022469056e-08
31,0.028784,0.026227,0.047399,76,3.740064991010926e-07
32,0.026849,-0.025718,-0.081339,13,6.39747958988711e-08
33,-0.020832,-0.006427,-0.092619,119,5.856154393819739e-07
34,-0.020891,-0.008831,-0.091687,114,5.610097486516389e-07
35,0.021572,0.026588,0.042399,100,4.921138146067008e-07
36,-0.025054,-0.015799,-0.083478,91,4.478235712920977e-07
37,0.036359,-0.028154,-0.081233,28,1.3779186808987622e-07
38,-0.022684,-0.010291,-0.084621,84,4.133756042696287e-07
39,0.041412,-0.030725,-0.077629,41,2.0176666398874733e-07
40,-0.026149,-0.016557,-0.08295,94,4.625869857302988e-07
41,-0.027374,-0.011902,-0.085433,95,4.675081238763658e-07
42,-0.03001,-0.007435,-0.082765,87,4.281390187078297e-07
43,-0.037895,0.009431,-0.083223,123,6.05299991966242e-07
44,-0.032889,-0.018679,-0.080013,90,4.429024331460307e-07
45,-0.027813,-0.015564,-0.082197,96,4.7242926202243285e-07
46,-0.028177,-0.025431,-0.080662,72,3.543219465168246e-07
47,-0.030956,-0.028728,-0.001747,1,4.921138146067008e-09
48,-0.036873,-0.020114,-0.077462,89,4.3798129499996373e-07
49,-0.012741,-0.032102,-0.078393,41,2.0176666398874733e-07
50,-0.022563,-0.032785,-0.074208,32,1.5747642067414425e-07
51,-0.036016,-0.011746,-0.080261,99,4.871926764606338e-07
52,-0.03444,-0.015012,-0.078661,97,4.773504001684998e-07
53,0.020258,0.027383,0.042166,97,4.773504001684998e-07
54,-0.040567,-0.015539,-0.076987,91,4.478235712920977e-07
55,-0.04661,-0.009277,-0.074904,96,4.7242926202243285e-07
56,-0.036722,0.006949,-0.086537,121,5.95457715674108e-07
57,-0.04234,-0.01537,-0.07349,89,4.3798129499996373e-07
58,0.016815,0.026249,0.051005,79,3.887699135392936e-07
59,-0.037116,-0.023499,-0.040732,7,3.4447967022469056e-08
60,0.01221,0.026448,0.047268,106,5.216406434831029e-07
