,I,J,K
0,0,1,2
1,3,4,5
2,6,7,8
3,9,10,11
4,1,0,12
5,13,5,14
6,12,8,15
7,12,0,6
8,16,17,18
9,19,4,3
10,6,8,12
11,20,21,19
12,18,22,23
13,2,24,25
14,26,27,28
15,27,26,29
16,11,30,31
17,32,29,26
18,30,11,26
19,21,20,33
20,31,33,11
21,26,11,32
22,34,35,9
23,36,33,20
24,5,37,38
25,33,9,11
26,39,40,34
27,32,11,10
28,41,20,38
29,33,34,9
30,34,36,42
31,42,43,34
32,18,42,41
33,38,3,5
34,37,18,41
35,19,3,20
36,37,41,38
37,44,37,5
38,22,18,37
39,13,44,5
40,44,22,37
41,16,45,17
42,43,18,17
43,43,42,18
44,43,39,34
45,41,42,36
46,5,4,14
47,20,41,36
48,4,46,14
49,38,20,3
50,23,16,18
51,33,36,34
52,43,47,48
53,48,49,43
54,23,25,16
55,50,24,51
56,52,51,53
57,39,49,54
58,48,47,55
59,16,50,45
60,47,43,45
61,45,43,17
62,52,56,50
63,57,49,48
64,51,52,50
65,39,43,49
66,45,50,56
67,53,51,1
68,53,1,12
69,12,15,53
70,16,25,24
71,24,1,51
72,16,24,50
73,2,1,24
74,58,59,60
75,61,62,59
76,60,59,63
77,61,59,64
78,65,66,67
79,64,59,58
80,63,68,60
81,68,63,69
82,70,71,72
83,59,69,63
84,73,74,75
85,76,77,78
86,79,80,81
87,82,83,84
88,82,85,83
89,86,87,88
90,89,90,91
91,92,93,94
92,95,96,97
93,98,70,99
94,70,72,99
95,66,75,67
96,99,86,100
97,88,101,102
98,59,103,69
99,88,93,86
100,104,58,68
101,58,60,68
102,103,105,106
103,107,108,109
104,62,110,111
105,112,113,114
106,115,109,116
107,117,104,68
108,98,118,119
109,120,115,116
110,121,110,61
111,122,100,92
112,77,115,120
113,123,124,125
114,100,93,92
115,62,105,103
116,107,115,126
117,127,84,128
118,126,77,129
119,130,131,132
120,133,134,94
121,135,136,65
122,136,116,109
123,137,138,107
124,97,71,139
125,118,140,119
126,62,141,89
127,62,103,59
128,126,137,107
129,94,142,133
130,130,143,144
131,145,143,130
132,138,111,107
133,97,139,146
134,88,147,101
135,62,138,141
136,148,149,111
137,108,149,150
138,141,138,151
139,152,121,64
140,140,146,119
141,108,111,149
142,71,70,139
143,153,154,155
144,155,71,96
145,149,148,156
146,145,130,112
147,92,94,134
148,131,130,144
149,156,157,150
150,144,143,158
151,159,160,140
152,145,112,114
153,96,95,161
154,98,119,70
155,162,134,133
156,80,79,84
157,159,140,118
158,81,163,164
159,85,165,58
160,140,160,121
161,119,146,70
162,143,146,140
163,118,99,100
164,73,162,74
165,157,66,150
166,96,161,166
167,84,83,128
168,150,65,136
169,110,121,148
170,165,64,58
171,116,136,135
172,96,153,155
173,71,97,96
174,133,142,74
175,80,163,81
176,150,66,65
177,167,79,82
178,121,61,64
179,131,168,79
180,113,163,161
181,121,160,148
182,142,169,74
183,88,102,93
184,101,170,102
185,170,169,102
186,132,164,112
187,75,66,157
188,87,147,88
189,67,135,65
190,80,171,163
191,62,89,105
192,157,156,159
193,64,165,152
194,100,122,118
195,97,145,95
196,71,172,72
197,86,93,100
198,168,85,82
199,79,81,132
200,158,85,168
201,149,156,150
202,172,155,154
203,110,148,111
204,146,145,97
205,79,167,84
206,62,61,110
207,102,142,94
208,77,120,78
209,134,159,92
210,168,131,158
211,173,84,127
212,108,107,111
213,145,114,95
214,79,168,82
215,158,143,121
216,126,115,77
217,138,137,174
218,129,137,126
219,89,141,151
220,148,160,156
221,159,156,160
222,152,165,158
223,73,157,162
224,129,175,174
225,89,151,90
226,130,132,112
227,106,89,91
228,151,138,174
229,139,70,146
230,96,166,153
231,121,152,158
232,142,102,169
233,131,79,132
234,95,113,161
235,71,155,172
236,75,157,73
237,164,163,113
238,146,143,145
239,140,121,143
240,98,99,118
241,176,154,153
242,167,82,84
243,175,124,90
244,164,132,81
245,144,158,131
246,113,112,164
247,74,162,133
248,175,151,174
249,138,62,111
250,151,175,90
251,129,77,175
252,77,76,175
253,113,95,114
254,134,162,159
255,117,127,128
256,109,115,107
257,177,74,169
258,158,165,85
259,128,83,104
260,159,162,157
261,91,90,124
262,89,106,105
263,94,93,102
264,125,175,76
265,85,104,83
266,58,104,85
267,137,129,174
268,122,159,118
269,159,122,92
270,128,104,117
271,150,109,108
272,109,150,136
273,175,125,124
274,178,179,180
275,181,182,183
276,184,185,182
277,186,187,185
278,188,189,190
279,179,191,180
280,179,185,191
281,185,187,191
282,192,193,186
283,186,194,195
284,187,186,195
285,186,196,192
286,178,197,190
287,186,193,194
288,184,182,198
289,186,185,184
290,199,190,197
291,185,179,183
292,184,196,186
293,198,200,184
294,201,202,203
295,204,189,188
296,205,206,207
297,201,208,209
298,207,208,210
299,199,203,188
300,211,188,202
301,210,203,199
302,204,188,211
303,207,210,205
304,205,199,212
305,206,205,212
306,199,205,210
307,203,210,201
308,188,203,202
309,201,209,213
310,202,201,213
311,190,199,188
312,185,183,182
313,208,201,210
314,200,196,184
315,183,214,181
316,215,216,217
317,218,216,215
318,219,220,221
319,222,223,224
320,219,221,225
321,216,226,217
322,227,228,229
323,230,231,232
324,233,225,226
325,233,234,225
326,223,231,235
327,225,217,226
328,216,233,226
329,221,217,225
330,236,237,238
331,227,229,239
332,240,215,239
333,239,220,227
334,241,223,228
335,242,243,227
336,238,227,243
337,237,228,238
338,244,231,230
339,245,240,239
340,219,242,220
341,215,220,239
342,243,236,238
343,245,239,229
344,242,227,220
345,238,228,227
346,223,241,231
347,229,228,223
348,222,245,246
349,237,232,241
350,241,228,237
351,247,216,218
352,229,246,245
353,246,229,223
354,223,235,224
355,241,232,231
356,236,232,237
357,220,215,217
358,244,235,231
359,222,246,223
360,221,220,217
361,248,249,250
362,251,250,249
363,250,252,253
364,253,252,254
365,255,256,257
366,258,252,251
367,259,260,261
368,262,263,264
369,258,265,266
370,267,268,265
371,266,265,269
372,270,271,272
373,265,268,269
374,273,274,271
375,257,275,276
376,277,278,279
377,273,280,274
378,267,281,268
379,249,248,282
380,283,284,285
381,286,282,287
382,288,289,290
383,291,292,293
384,282,251,249
385,280,293,292
386,292,274,280
387,294,285,284
388,251,282,286
389,274,292,295
390,284,295,292
391,283,295,284
392,285,259,283
393,281,267,296
394,285,297,259
395,298,299,300
396,301,302,303
397,304,305,306
398,293,306,291
399,307,272,308
400,309,248,277
401,281,310,311
402,312,313,310
403,260,259,297
404,314,267,258
405,290,312,315
406,316,317,288
407,313,312,318
408,290,315,288
409,256,285,294
410,302,301,319
411,320,299,317
412,314,301,296
413,271,321,322
414,323,324,297
415,299,325,300
416,326,325,327
417,261,283,259
418,328,311,310
419,323,285,256
420,317,316,303
421,322,272,271
422,281,301,310
423,272,322,300
424,315,316,288
425,312,310,315
426,329,318,312
427,267,314,296
428,320,317,303
429,287,302,286
430,303,316,315
431,252,250,251
432,252,258,254
433,312,290,330
434,251,286,314
435,302,331,327
436,332,333,311
437,258,266,254
438,298,334,317
439,333,281,311
440,268,281,333
441,302,319,286
442,333,269,268
443,334,288,317
444,314,258,251
445,267,265,258
446,331,305,304
447,294,284,292
448,291,306,262
449,263,262,306
450,305,263,306
451,305,264,263
452,277,305,335
453,305,277,264
454,264,277,336
455,300,325,308
456,287,331,302
457,307,304,270
458,320,302,327
459,303,315,301
460,315,310,301
461,299,320,325
462,307,308,325
463,292,291,294
464,320,327,325
465,335,331,287
466,331,335,305
467,323,337,324
468,297,285,323
469,256,337,323
470,328,310,313
471,256,338,337
472,338,256,255
473,257,256,294
474,275,294,291
475,317,299,298
476,257,294,275
477,275,291,262
478,275,262,336
479,320,303,302
480,248,335,287
481,336,276,275
482,339,326,327
483,301,314,286
484,264,336,262
485,326,307,325
486,334,289,288
487,326,339,304
488,339,331,304
489,300,308,272
490,326,304,307
491,277,279,336
492,335,309,277
493,307,270,272
494,278,277,248
495,293,270,304
496,331,339,327
497,335,248,309
498,293,304,306
499,301,286,319
500,293,280,270
501,273,271,270
502,282,248,287
503,301,281,296
504,329,312,330
505,270,280,273
506,340,341,342
507,343,344,342
508,340,344,345
509,345,346,347
510,348,345,344
511,343,348,344
512,346,345,348
513,347,349,340
514,340,349,341
515,346,348,350
516,350,351,352
517,352,346,350
518,340,342,344
519,340,345,347
520,353,354,355
521,356,357,358
522,359,356,360
523,361,362,363
524,364,358,365
525,366,367,365
526,362,361,368
527,369,370,361
528,354,371,372
529,373,370,374
530,375,376,377
531,362,356,378
532,378,358,364
533,376,379,377
534,380,381,382
535,372,375,355
536,368,383,362
537,380,384,373
538,385,371,386
539,386,354,353
540,359,360,387
541,388,379,376
542,356,362,383
543,369,389,390
544,373,384,368
545,391,392,385
546,372,371,390
547,393,365,358
548,389,375,372
549,366,379,367
550,394,382,381
551,356,383,360
552,395,366,365
553,380,382,384
554,396,387,360
555,397,396,398
556,395,365,399
557,400,398,396
558,382,368,384
559,383,368,382
560,379,366,401
561,393,402,365
562,403,358,357
563,404,405,392
564,367,406,407
565,408,409,410
566,400,360,411
567,412,401,366
568,375,377,355
569,389,372,390
570,395,399,413
571,407,363,364
572,365,367,407
573,400,411,394
574,394,381,414
575,415,414,381
576,416,396,397
577,415,381,408
578,417,414,408
579,356,358,378
580,392,405,370
581,378,364,363
582,355,354,372
583,371,354,386
584,378,363,362
585,390,371,392
586,360,383,411
587,388,376,406
588,388,406,367
589,390,392,370
590,418,419,420
591,356,359,357
592,363,389,369
593,412,395,413
594,411,382,394
595,400,394,398
596,363,407,406
597,363,406,375
598,403,402,393
599,405,404,374
600,369,361,363
601,370,373,361
602,405,374,370
603,382,411,383
604,389,363,375
605,421,422,423
606,424,425,426
607,406,376,375
608,427,419,418
609,402,399,365
610,392,371,385
611,418,428,422
612,429,430,431
613,424,432,425
614,393,358,403
615,433,434,435
616,436,437,438
617,410,439,438
618,440,441,353
619,440,442,441
620,353,441,386
621,441,425,386
622,426,425,441
623,425,443,386
624,428,444,445
625,432,446,447
626,447,435,448
627,449,434,450
628,451,452,453
629,445,449,450
630,454,447,446
631,449,444,455
632,429,427,430
