,I,J,K
0,0,1,2
1,3,0,4
2,4,0,2
3,3,4,5
4,6,2,7
5,8,9,4
6,6,4,2
7,10,8,6
8,9,5,4
9,11,12,13
10,6,8,4
11,10,6,7
12,14,15,16
13,1,14,2
14,15,14,1
15,11,13,17
16,18,17,13
17,19,20,21
18,22,23,20
19,24,22,25
20,26,27,21
21,28,24,29
22,26,30,31
23,22,19,25
24,29,24,25
25,31,27,26
26,19,21,27
27,0,19,1
28,32,22,12
29,12,22,33
30,22,32,34
31,23,22,34
32,22,35,33
33,33,35,36
34,33,13,12
35,36,13,33
36,29,25,5
37,35,37,36
38,31,30,15
39,16,15,30
40,22,24,35
41,35,24,37
42,24,38,37
43,39,40,36
44,37,39,36
45,18,13,36
46,39,37,38
47,29,5,9
48,5,25,0
49,27,31,1
50,15,1,31
51,25,19,0
52,20,19,22
53,19,27,1
54,0,3,5
55,41,42,43
56,44,42,45
57,43,46,41
58,47,45,48
59,49,41,50
60,42,44,43
61,48,42,51
62,52,53,54
63,55,56,57
64,47,44,45
65,49,50,58
66,59,60,61
67,62,55,57
68,63,64,65
69,64,63,61
70,66,67,44
71,68,69,67
72,69,52,54
73,69,70,52
74,57,71,72
75,64,73,68
76,74,69,75
77,69,73,70
78,76,56,55
79,71,57,77
80,77,57,78
81,62,57,72
82,54,75,69
83,70,79,52
84,70,80,81
85,79,70,81
86,69,68,73
87,64,70,73
88,79,53,52
89,82,83,53
90,84,82,53
91,83,54,53
92,83,75,54
93,76,85,56
94,74,75,86
95,75,83,86
96,69,74,67
97,62,87,88
98,51,58,89
99,58,51,49
100,88,76,62
101,89,58,90
102,91,92,93
103,91,93,94
104,87,62,95
105,92,96,97
106,93,92,97
107,98,99,81
108,99,91,94
109,100,79,93
110,99,94,81
111,81,94,93
112,100,95,101
113,81,93,79
114,79,100,53
115,100,93,97
116,100,84,53
117,41,82,101
118,62,76,55
119,101,82,84
120,97,87,95
121,100,97,95
122,101,50,41
123,84,100,101
124,101,95,102
125,85,76,88
126,103,104,105
127,106,105,104
128,72,107,62
129,107,95,62
130,71,108,102
131,108,71,77
132,72,71,102
133,109,108,77
134,110,50,111
135,108,109,111
136,111,109,112
137,111,50,102
138,102,50,101
139,107,72,102
140,90,110,111
141,110,90,58
142,89,90,113
143,110,58,50
144,112,90,111
145,95,107,102
146,48,45,42
147,41,46,82
148,41,49,42
149,42,49,51
150,63,114,61
151,64,115,116
152,115,64,60
153,115,117,116
154,83,82,86
155,86,67,74
156,86,46,67
157,46,43,67
158,86,82,46
159,67,43,44
160,98,118,119
161,118,98,81
162,106,117,105
163,97,96,87
164,104,120,106
165,106,120,119
166,118,80,117
167,61,60,64
168,64,116,80
169,117,80,116
170,106,119,118
171,102,108,111
172,80,118,81
173,70,64,80
174,118,117,106
175,65,64,68
176,59,61,114
177,67,66,68
178,121,68,66
179,121,65,68
180,122,123,124
181,125,126,127
182,122,128,129
183,122,124,128
184,130,128,124
185,131,132,133
186,134,135,136
187,133,136,135
188,137,138,139
189,135,138,131
190,131,140,132
191,137,131,138
192,137,139,141
193,140,137,141
194,141,139,142
195,140,131,137
196,133,135,131
197,143,144,145
198,146,147,148
199,147,149,150
200,147,146,151
201,146,152,151
202,147,151,149
203,142,127,153
204,123,150,154
205,149,154,150
206,155,156,157
207,158,148,147
208,140,159,132
209,160,159,140
210,161,127,162
211,163,164,165
212,166,167,168
213,168,165,166
214,169,157,156
215,170,171,172
216,171,173,174
217,144,143,171
218,143,173,171
219,175,123,154
220,172,174,176
221,172,171,174
222,158,177,178
223,179,180,181
224,182,166,164
225,179,164,163
226,165,164,166
227,179,163,183
228,164,179,181
229,184,164,181
230,185,186,176
231,186,185,187
232,176,188,172
233,188,170,172
234,176,186,188
235,170,179,183
236,189,177,158
237,189,158,147
238,161,167,166
239,178,190,191
240,147,150,189
241,191,155,157
242,162,192,161
243,193,184,181
244,130,166,182
245,191,187,155
246,192,167,161
