,I,J,K
0,0,1,2
1,0,3,1
2,4,5,3
3,6,4,7
4,4,6,5
5,3,0,4
6,0,7,4
7,8,9,10
8,11,12,13
9,14,15,16
10,17,18,19
11,20,21,22
12,23,21,24
13,25,26,27
14,28,29,30
15,31,32,33
16,34,35,36
17,29,37,38
18,10,39,40
19,41,42,43
20,29,44,45
21,46,47,48
22,22,49,50
23,51,52,53
24,54,55,43
25,56,57,58
26,59,60,61
27,62,42,63
28,64,65,30
29,29,66,37
30,67,68,69
31,70,30,65
32,71,72,73
33,28,70,74
34,66,75,76
35,30,38,77
36,78,79,80
37,81,82,43
38,57,83,84
39,9,85,86
40,48,87,88
41,76,37,66
42,89,90,91
43,92,93,94
44,19,95,17
45,96,97,98
46,99,100,101
47,102,103,104
48,105,106,107
49,108,109,110
50,103,111,112
51,113,33,32
52,103,114,111
53,113,115,33
54,94,116,92
55,115,117,118
56,119,74,70
57,68,67,120
58,121,122,63
59,123,124,125
60,126,96,98
61,33,115,118
62,117,127,118
63,127,128,118
64,129,84,87
65,130,131,132
66,133,20,67
67,134,135,136
68,125,124,18
69,137,123,138
70,124,123,137
71,96,139,140
72,141,142,143
73,144,140,139
74,144,139,145
75,143,121,146
76,147,148,149
77,150,151,149
78,144,91,140
79,121,143,122
80,152,106,153
81,144,89,91
82,49,136,135
83,154,155,122
84,155,156,122
85,80,79,23
86,124,137,99
87,122,156,62
88,63,157,121
89,63,15,158
90,30,70,28
91,159,160,161
92,74,162,163
93,164,165,166
94,167,23,24
95,63,158,157
96,99,168,100
97,169,149,151
98,170,169,151
99,171,128,172
100,19,101,55
101,34,36,173
102,174,11,175
103,29,45,176
104,177,178,179
105,179,180,93
106,21,23,49
107,177,181,178
108,47,46,182
109,183,184,185
110,21,167,24
111,186,72,71
112,47,187,87
113,188,189,180
114,190,180,191
115,180,189,93
116,192,193,194
117,195,179,196
118,197,164,152
119,176,66,29
120,159,185,198
121,179,195,180
122,26,199,27
123,130,200,131
124,191,180,195
125,132,201,202
126,196,178,181
127,190,188,180
128,122,143,154
129,147,203,148
130,204,205,174
131,206,207,208
132,106,105,153
133,169,209,147
134,208,207,170
135,169,147,149
136,165,164,210
137,170,207,169
138,136,49,23
139,178,196,179
140,87,84,88
141,211,212,46
142,65,213,214
143,137,215,168
144,137,168,99
145,216,90,89
146,184,183,217
147,174,218,204
148,219,196,181
149,220,191,195
150,157,221,121
151,222,209,206
152,207,206,209
153,151,150,167
154,195,196,223
155,151,167,170
156,167,224,170
157,157,90,216
158,221,157,216
159,225,226,119
160,220,227,191
161,228,229,190
162,230,231,232
163,13,233,62
164,229,188,190
165,234,235,161
166,84,83,236
167,218,174,175
168,119,70,225
169,237,238,239
170,161,235,159
171,227,199,191
172,132,202,240
173,150,80,167
174,15,63,42
175,241,8,52
176,120,236,83
177,242,243,202
178,244,245,246
179,101,19,124
180,247,232,231
181,61,60,248
182,249,176,45
183,250,251,56
184,173,209,252
185,250,202,251
186,16,15,42
187,244,206,245
188,246,253,69
189,254,165,255
190,120,256,68
191,36,257,203
192,36,203,173
193,152,164,166
194,42,41,16
195,166,258,152
196,165,187,166
197,259,238,260
198,41,261,16
199,256,251,202
200,197,152,153
201,133,253,262
202,12,205,17
203,22,50,67
204,199,228,190
205,51,263,222
206,243,256,202
207,243,68,256
208,256,120,251
209,261,100,168
210,243,246,68
211,246,243,242
212,242,244,246
213,244,264,265
214,245,206,208
215,262,253,266
216,133,69,253
217,120,56,251
218,52,51,222
219,244,265,206
220,168,267,261
221,268,252,263
222,83,56,120
223,242,202,201
224,269,172,127
225,229,270,271
226,229,228,270
227,272,273,274
228,60,59,247
229,181,275,276
230,277,278,279
231,280,271,270
232,281,188,279
233,107,282,105
234,53,263,51
235,283,277,279
236,16,284,226
237,181,276,285
238,249,45,286
239,236,287,84
240,271,288,229
241,57,240,58
242,289,284,16
243,128,235,118
244,290,291,273
245,29,28,44
246,253,208,266
247,45,163,85
248,284,292,226
249,293,18,186
250,294,295,134
251,292,296,226
252,297,298,299
253,188,281,189
254,300,301,302
255,280,301,303
256,304,292,305
257,111,114,306
258,284,289,239
259,10,53,8
260,153,307,197
261,304,305,259
262,80,23,167
263,183,159,171
264,307,308,309
265,9,86,162
266,305,292,239
267,252,209,222
268,14,226,310
269,71,193,311
270,312,313,314
271,228,315,270
272,200,300,131
273,162,296,39
274,277,316,278
275,10,260,53
276,317,318,112
277,301,315,302
278,200,129,319
279,197,320,210
280,237,239,289
281,316,312,278
282,202,250,240
283,153,105,307
284,302,131,300
285,220,195,223
286,45,44,163
287,321,322,230
288,250,56,58
289,301,300,200
290,312,319,254
291,181,177,275
292,103,313,323
293,129,57,84
294,296,119,226
295,303,301,200
296,319,312,316
297,324,184,217
298,255,165,210
299,254,325,323
300,254,313,312
301,212,134,295
302,305,238,259
303,279,290,299
304,275,249,286
305,16,226,14
306,260,40,259
307,260,10,40
308,175,127,218
309,282,308,105
310,296,162,74
311,304,259,40
312,326,238,237
313,326,237,289
314,81,43,42
315,327,9,162
316,38,37,76
317,38,76,77
318,328,81,233
319,238,326,329
320,219,181,285
321,154,330,175
322,11,155,175
323,194,204,218
324,293,186,71
325,130,129,200
326,230,331,321
327,155,154,175
328,330,143,269
329,142,269,143
330,175,330,269
331,115,194,117
332,332,46,212
333,173,147,209
334,333,267,215
335,124,19,18
336,163,162,86
337,309,325,254
338,137,334,215
339,335,13,12
340,201,132,131
341,333,215,334
342,95,335,17
343,276,286,9
344,303,319,288
345,309,254,255
346,172,217,171
347,334,336,333
348,316,288,319
349,168,215,267
350,17,335,12
351,333,261,267
352,219,285,52
353,158,90,157
354,119,296,74
355,44,74,163
356,50,49,135
357,296,40,39
358,284,239,292
359,187,47,166
360,95,54,82
361,40,296,304
362,14,158,15
363,57,56,83
364,73,17,205
365,86,85,163
366,332,212,295
367,313,254,323
368,177,176,249
369,223,227,220
370,278,104,291
371,234,32,31
372,34,268,35
373,337,50,236
374,260,35,268
375,238,329,35
376,338,264,244
377,199,26,228
378,322,258,166
379,322,321,258
380,319,129,165
381,249,275,177
382,310,90,14
383,36,329,326
384,241,276,9
385,339,289,261
386,280,303,271
387,36,326,257
388,173,203,147
389,333,339,261
390,336,339,333
391,326,289,339
392,36,35,329
393,225,90,310
394,35,260,238
395,212,211,134
396,120,337,236
397,268,34,173
398,268,173,252
399,241,9,8
400,219,52,222
401,59,61,340
402,182,231,230
403,126,98,142
404,141,143,146
405,25,338,26
406,112,108,341
407,328,95,82
408,266,170,224
409,170,266,208
410,286,276,275
411,293,125,18
412,303,288,271
413,247,248,60
414,211,48,287
415,303,200,319
416,146,221,141
417,322,47,230
418,81,42,233
419,227,25,27
420,232,59,331
421,313,103,102
422,310,226,225
423,190,191,199
424,13,62,156
425,211,135,134
426,39,327,162
427,335,342,13
428,291,318,273
429,264,227,223
430,128,127,172
431,73,72,17
432,142,139,126
433,96,126,139
434,144,145,216
435,270,315,280
436,247,343,248
437,14,90,158
438,12,174,205
439,298,297,116
440,95,342,335
441,323,114,103
442,80,150,78
443,341,108,110
444,278,312,314
445,247,231,182
446,26,315,228
447,290,279,291
448,165,254,319
449,305,239,238
450,182,230,47
451,229,288,188
452,139,142,141
453,281,279,299
454,76,344,77
455,193,71,73
456,247,182,343
457,71,311,345
458,145,139,221
459,302,26,131
460,246,69,68
461,346,116,94
462,188,283,279
463,221,216,145
464,320,309,255
465,199,227,27
466,77,344,347
467,188,288,283
468,121,221,146
469,156,11,13
470,134,136,294
471,320,255,210
472,104,314,102
473,315,301,280
474,282,323,308
475,104,103,318
476,183,171,217
477,318,291,104
478,272,290,273
479,264,25,227
480,265,264,223
481,307,309,320
482,341,317,112
483,210,164,197
484,144,216,89
485,323,348,114
486,278,291,279
487,338,244,131
488,349,213,350
489,218,127,117
490,325,308,323
491,307,320,197
492,318,103,112
493,213,349,351
494,350,213,64
495,299,298,281
496,193,204,194
497,107,348,282
498,351,349,352
499,105,308,307
500,323,282,348
501,47,322,166
502,12,11,174
503,207,209,169
504,298,116,346
505,328,233,13
506,346,93,189
507,324,172,269
508,141,221,139
509,242,131,244
510,65,64,213
511,269,127,175
512,246,208,253
513,262,20,133
514,332,343,182
515,288,277,283
516,129,87,165
517,208,246,245
518,302,315,26
519,159,183,185
520,84,287,88
521,342,95,328
522,299,290,272
523,11,156,155
524,292,304,296
525,130,240,57
526,31,118,235
527,94,93,346
528,17,72,18
529,135,287,50
530,62,233,42
531,194,218,117
532,222,263,252
533,214,70,65
534,350,77,347
535,352,353,351
536,48,47,87
537,196,222,265
538,64,30,350
539,346,281,298
540,69,133,67
541,294,136,79
542,120,67,337
543,91,90,214
544,67,20,22
545,73,204,193
546,108,112,111
547,91,353,140
548,332,182,46
549,348,306,114
550,46,48,211
551,353,97,140
552,101,41,55
553,30,77,350
554,132,240,130
555,351,214,213
556,314,104,278
557,306,108,111
558,109,108,306
559,97,96,140
560,50,287,236
561,338,25,264
562,41,101,261
563,352,97,353
564,43,55,41
565,177,93,92
566,265,223,196
567,70,214,225
568,351,353,214
569,266,20,262
570,179,93,177
571,217,172,324
572,214,90,225
573,345,293,71
574,353,91,214
575,171,235,128
576,250,58,240
577,198,160,159
578,131,242,201
579,44,28,74
580,118,31,33
581,100,261,101
582,219,222,196
583,62,63,122
584,124,99,101
585,39,10,327
586,211,287,135
587,82,54,43
588,8,53,52
589,288,316,277
590,266,224,20
591,85,286,45
592,338,131,26
593,309,308,325
594,281,346,189
595,85,9,286
596,87,187,165
597,21,20,224
598,224,167,21
