,X,Y,Z,corr_dim_0.01
0,-0.014984,0.008827,0.007771,110
1,-0.014581,0.010784,0.008582,117
2,-0.016007,0.009887,0.00643,115
3,-0.014471,0.009025,0.009743,112
4,-0.015432,0.008368,0.009289,111
5,-0.014368,0.007903,0.011242,114
6,-0.017068,0.008038,0.009915,116
7,-0.016833,0.007999,0.007383,109
8,-0.0002,0.040251,0.00189,64
9,-0.000323,0.037688,0.002288,75
10,-0.001093,0.038871,-0.000346,67
11,0.017373,0.031715,-0.005086,102
12,0.018511,0.033921,-0.005289,101
13,0.016176,0.03355,-0.004058,88
14,0.009333,0.03504,-0.002298,107
15,0.009988,0.034116,-0.003179,102
16,0.008936,0.035891,-0.004782,98
17,0.019023,0.036739,-0.006772,82
18,0.018619,0.037335,-0.010679,93
19,0.015762,0.036659,-0.00901,103
20,-0.017847,0.036985,-0.004196,65
21,-0.017252,0.035951,-0.00638,69
22,-0.017897,0.03503,-0.004313,69
23,-0.017296,0.035627,-0.00836,59
24,-0.016676,0.03603,-0.007671,60
25,-0.012423,0.038717,0.006592,62
26,-0.014213,0.038307,0.007945,59
27,-0.012412,0.039181,0.007724,57
28,0.004146,0.033863,0.002503,100
29,0.003387,0.033768,0.005068,92
30,0.005565,0.031603,0.003606,88
31,0.02901,0.031113,-0.003381,78
32,0.028021,0.029098,-0.004997,95
33,0.027706,0.031225,-0.00582,87
34,0.000574,0.038392,-0.00472,79
35,0.001689,0.039551,-0.004723,75
36,0.001577,0.038418,-0.006562,74
37,0.004676,0.03362,0.006395,102
38,0.005198,0.032734,0.005793,98
39,0.000652,0.037855,-0.000577,80
40,0.001697,0.038784,-0.001733,72
41,0.011616,0.037349,-0.00635,92
42,0.01205,0.035521,-0.003398,97
43,0.013227,0.036387,-0.005782,98
44,0.00237,0.034535,0.002898,93
45,0.000865,0.034934,0.004339,84
46,-0.019519,0.028071,-0.001352,54
47,-0.020712,0.028557,0.00351,55
48,-0.020769,0.030345,0.000252,56
49,-0.018784,0.034948,-0.005968,64
50,-0.019634,0.034177,-0.003159,67
51,-0.002889,0.040533,0.000153,57
52,-0.00268,0.040758,0.00244,56
53,-0.001251,0.040671,8.6e-05,63
54,0.014255,0.035875,-0.007315,111
55,0.013642,0.037358,-0.007482,103
56,-0.015221,0.03148,0.000745,78
57,-0.017213,0.032357,0.003303,76
58,-0.015238,0.032581,0.002817,80
59,-0.013756,0.020378,0.005068,80
60,-0.013347,0.020203,0.002733,76
61,-0.012937,0.017659,0.002854,97
62,0.013446,0.032904,-0.003996,96
63,0.011486,0.032501,-0.002854,98
64,0.00796,0.031476,0.00346,110
65,0.008054,0.031951,0.001819,103
66,0.003935,0.033939,0.007627,99
67,-0.018352,0.035503,-0.002096,67
68,-0.017905,0.036153,0.000292,66
69,-0.017592,0.037206,-0.001156,64
70,0.006434,0.033804,0.000884,105
71,0.021363,0.03578,-0.010804,93
72,0.020793,0.037072,-0.009274,83
73,0.02183,0.035541,-0.008084,83
74,0.003254,0.034903,0.000525,100
75,0.006397,0.034192,0.008496,115
76,0.006104,0.033874,0.006867,105
77,0.007051,0.032424,0.006323,117
78,-0.015624,0.036563,-0.011887,53
79,-0.017153,0.034897,-0.011239,54
80,-0.01679,0.037121,-0.010423,50
81,0.014205,0.035692,-0.004224,95
82,0.014396,0.0356,-0.00597,104
83,-0.017994,0.031427,0.000361,68
84,-0.019999,0.032469,0.001557,63
85,0.001452,0.0371,0.003728,87
86,0.001193,0.037004,0.002145,81
87,-0.022486,0.03205,0.003427,55
88,-0.021011,0.031478,0.000823,55
89,0.013351,0.03495,-9.9e-05,93
90,0.011407,0.034995,-0.000694,103
91,0.013236,0.035045,0.001476,103
92,-0.0029,0.035523,0.014008,78
93,-0.006032,0.035735,0.011973,80
94,-0.005493,0.03522,0.013806,79
95,0.015911,0.035642,-0.006466,111
96,0.017101,0.03274,0.002849,114
97,0.016118,0.032817,0.004559,120
98,0.017896,0.031136,0.003446,119
99,0.012696,0.03873,-0.012062,83
100,0.011244,0.039093,-0.010648,82
101,0.013161,0.038912,-0.009285,88
102,-0.017216,0.031655,0.019941,91
103,-0.017058,0.03068,0.021508,83
104,-0.015597,0.031218,0.019672,96
105,-0.021751,0.029368,0.017735,56
106,-0.019869,0.027681,0.014945,62
107,-0.01942,0.027256,0.019571,68
108,-0.01534,0.029173,0.026025,75
109,-0.0155,0.027394,0.027173,68
110,-0.013156,0.028821,0.027643,77
111,-0.016785,0.030119,0.02443,75
112,-0.014855,0.029909,0.024079,89
113,0.02588,0.029331,-0.0067,109
114,-0.018602,0.030322,0.023295,74
115,0.025571,0.031345,-0.007182,102
116,-0.005961,0.03487,0.01561,81
117,0.02391,0.031512,-0.005247,110
118,0.026324,0.032082,-0.00347,84
119,0.005839,0.035521,-0.000728,104
120,-0.017357,0.033842,-0.000366,70
121,0.012945,0.030999,-0.001309,90
122,0.013335,0.030303,-0.003833,86
123,0.015447,0.036584,-0.014855,94
124,0.01529,0.037472,-0.012037,98
125,0.018457,0.037562,-0.013584,87
126,0.017512,0.031627,0.001969,117
127,0.022948,0.030834,-0.002643,117
128,0.025613,0.031071,-0.000732,95
129,-0.019285,0.032951,0.005946,71
130,-0.016498,0.033894,0.00563,76
131,-0.01622,0.037068,0.005384,70
132,-0.015593,0.035134,0.004731,72
133,-0.018597,0.037486,-0.002416,63
134,-0.019104,0.030999,-0.006921,57
135,-0.019904,0.032802,-0.005057,63
136,-0.018749,0.033702,-0.008199,59
137,0.012219,0.037168,-0.014139,89
138,0.01382,0.036739,-0.015445,86
139,0.015892,0.032434,0.00103,101
140,0.0155,0.033885,0.002416,102
141,0.015092,0.03072,0.00043,100
142,0.01692,0.030105,0.001567,120
143,0.015065,0.029041,-0.001027,91
144,0.015129,0.034635,0.000505,93
145,0.014865,0.033184,-0.000152,98
146,0.014153,0.030684,-0.00065,96
147,-0.005369,0.036889,-0.007567,74
148,-0.005092,0.037637,-0.010793,69
149,-0.009465,0.037851,-0.010392,72
150,-0.013749,0.037969,-0.01153,55
151,-0.012492,0.037136,-0.008749,63
152,-0.022947,0.029355,0.012369,45
153,-0.023103,0.029525,0.015285,47
154,0.015613,0.02857,-0.003681,76
155,0.015833,0.029974,-0.005164,79
156,0.014836,0.031824,-0.004955,93
157,0.011752,0.032702,-0.000626,101
158,0.010017,0.033477,-0.001502,107
159,0.02644,0.028548,0.000546,103
160,0.026792,0.026818,-1e-05,108
161,0.02776,0.027883,-0.001208,97
162,0.001192,0.036784,0.000681,86
163,0.001761,0.035814,0.002356,88
164,-0.024751,0.031131,0.010759,31
