,I,J,K
0,0,1,2
1,0,3,1
2,4,5,6
3,3,7,1
4,2,8,9
5,2,1,8
6,5,7,6
7,8,7,5
8,9,8,5
9,1,7,8
10,10,11,12
11,10,4,13
12,12,11,14
13,15,12,14
14,14,16,9
15,9,15,14
16,12,4,10
17,17,18,16
18,19,20,21
19,17,21,20
20,22,17,20
21,4,6,13
22,5,4,12
23,12,15,5
24,0,16,18
25,16,2,9
26,21,17,16
27,21,14,19
28,21,16,14
29,5,15,9
30,2,16,0
31,23,24,25
32,26,27,28
33,29,30,31
34,32,29,31
35,29,33,34
36,35,36,37
37,28,38,39
38,40,23,28
39,40,30,29
40,40,29,34
41,40,34,23
42,41,32,31
43,28,27,38
44,42,37,43
45,40,28,39
46,37,36,44
47,32,33,29
48,25,42,26
49,31,45,41
50,23,34,24
51,23,25,28
52,24,42,25
53,37,24,35
54,35,34,46
55,25,26,28
56,46,47,35
57,24,37,42
58,39,38,48
59,47,36,35
60,30,40,39
61,35,24,34
62,48,30,39
63,49,50,51
64,52,53,54
65,54,53,55
66,56,54,57
67,58,56,59
68,60,61,62
69,63,54,55
70,64,62,61
71,61,60,65
72,66,67,68
73,63,64,61
74,56,69,59
75,63,57,54
76,63,61,65
77,60,70,65
78,71,70,72
79,63,65,57
80,65,70,57
81,54,58,52
82,71,69,70
83,71,72,73
84,56,58,54
85,71,74,69
86,71,73,74
87,69,56,70
88,72,70,60
89,50,74,73
90,66,55,53
91,69,74,50
92,49,69,50
93,57,70,56
94,75,76,68
95,69,49,59
96,75,68,67
97,66,53,77
98,66,77,67
99,78,79,80
100,81,82,83
101,84,85,86
102,87,88,89
103,82,90,83
104,91,92,87
105,93,94,95
106,92,96,87
107,97,91,87
108,91,98,92
109,99,100,81
110,100,79,81
111,101,100,99
112,102,91,97
113,94,87,96
114,94,88,87
115,96,92,95
116,95,94,96
117,92,101,95
118,94,103,88
119,92,98,101
120,93,95,101
121,103,94,93
122,81,78,82
123,81,93,99
124,103,93,81
125,93,101,99
126,104,86,90
127,85,83,90
128,83,103,81
129,83,88,103
130,86,85,90
131,89,88,105
132,79,78,81
133,85,105,83
134,105,88,83
135,106,107,108
136,109,110,111
137,112,113,114
138,115,116,117
139,118,119,110
140,111,120,109
141,108,121,106
142,122,108,107
143,121,123,124
144,112,125,113
145,126,127,128
146,120,117,123
147,128,119,126
148,111,129,115
149,108,130,121
150,125,120,123
151,108,113,130
152,120,125,109
153,131,116,115
154,113,108,122
155,112,132,126
156,126,133,134
157,123,130,125
158,132,112,114
159,115,120,111
160,126,118,112
161,116,135,117
162,110,109,118
163,134,127,126
164,115,129,131
165,133,126,132
166,125,118,109
167,123,121,130
168,118,126,119
169,117,120,115
170,125,112,118
171,124,123,117
172,113,125,130
173,136,137,138
174,139,140,141
175,142,143,144
176,143,145,138
177,136,146,137
178,147,140,148
179,142,149,150
180,150,151,145
181,147,152,153
182,154,140,139
183,154,139,137
184,155,156,157
185,138,139,141
186,158,157,156
187,141,147,153
188,138,153,143
189,138,145,136
190,159,144,153
191,152,159,153
192,151,160,145
193,146,157,161
194,136,145,160
195,144,143,153
196,147,141,140
197,150,145,142
198,139,138,137
199,138,141,153
200,148,140,162
201,162,140,154
202,158,161,157
203,137,161,154
204,157,163,164
205,157,146,163
206,155,157,164
207,164,136,160
208,146,161,137
209,163,136,164
210,142,145,143
211,146,136,163
212,165,166,167
213,168,169,170
214,171,172,173
215,174,175,176
216,177,176,171
217,176,172,171
218,178,170,179
219,168,174,165
220,180,174,176
221,178,179,181
222,182,183,177
223,184,169,168
224,172,170,185
225,170,169,179
226,186,167,166
227,168,172,175
228,187,188,169
229,182,189,183
230,190,189,191
231,191,189,192
232,170,172,168
233,182,193,192
234,192,193,191
235,194,190,191
236,189,182,192
237,193,182,171
238,186,166,180
239,176,175,172
240,165,174,166
241,180,166,174
242,177,186,180
243,187,169,184
244,174,168,175
245,185,170,178
246,176,177,180
247,168,165,184
248,171,182,177
249,187,184,195
250,173,172,185
251,165,195,184
252,196,197,198
253,199,200,201
254,201,202,198
255,198,202,196
256,202,203,204
257,205,206,207
258,202,201,203
259,199,201,198
260,208,209,201
261,200,208,201
262,203,201,209
263,199,198,197
264,202,210,196
265,211,212,213
266,214,215,216
267,204,203,214
268,209,215,214
269,205,204,214
270,209,214,203
271,215,209,208
272,217,218,219
273,220,221,218
274,218,222,220
275,221,216,218
276,205,223,204
277,205,216,221
278,215,208,224
279,207,223,205
280,215,224,219
281,208,211,224
282,199,211,200
283,208,200,211
284,219,218,216
285,218,217,222
286,205,214,216
287,206,205,221
288,216,215,219
289,217,219,224
290,217,224,213
291,211,213,224
292,225,222,217
293,217,213,225
294,225,213,212
295,226,227,228
296,229,230,231
297,232,233,234
298,235,236,237
299,238,239,240
300,239,241,240
301,242,236,235
302,241,239,243
303,240,241,233
304,244,245,246
305,247,234,246
306,247,232,234
307,248,245,244
308,230,248,249
309,250,230,249
310,234,233,244
311,245,231,246
312,228,250,249
313,245,229,231
314,250,228,251
315,245,248,229
316,226,228,252
317,251,228,227
318,248,230,229
319,243,236,242
320,242,241,243
321,238,253,239
322,241,244,233
323,248,244,254
324,255,252,228
325,228,249,255
326,242,255,254
327,242,235,255
328,255,235,252
329,239,253,243
330,237,252,235
331,252,237,256
332,254,255,249
333,241,254,244
334,257,256,237
335,254,241,242
336,249,248,254
337,246,234,244
338,258,259,260
339,261,262,263
340,264,265,266
341,267,268,269
342,270,267,271
343,272,271,269
344,269,273,272
345,274,273,268
346,275,266,265
347,273,274,276
348,275,259,258
349,265,277,278
350,261,272,277
351,277,265,262
352,279,262,264
353,272,261,280
354,259,281,260
355,264,262,265
356,276,281,278
357,282,281,276
358,278,259,265
359,273,277,272
360,282,276,283
361,277,262,261
362,265,259,275
363,284,260,281
364,273,276,278
365,285,264,275
366,258,260,286
367,287,288,268
368,279,264,285
369,264,266,275
370,269,271,267
371,270,271,289
372,281,259,278
373,284,286,260
374,271,272,280
375,276,274,288
376,269,268,273
377,283,276,288
378,278,277,273
379,280,289,271
380,280,261,263
381,288,274,268
382,290,291,292
383,293,294,295
384,296,297,298
385,290,292,299
386,300,291,290
387,301,302,303
388,304,297,305
389,301,303,306
390,305,291,307
391,308,309,307
392,291,300,308
393,310,293,299
394,291,305,311
395,294,293,312
396,293,310,312
397,313,297,314
398,306,303,315
399,316,315,303
400,316,303,317
401,318,319,320
402,292,311,310
403,296,305,297
404,298,321,322
405,299,295,300
406,323,298,322
407,313,298,297
408,321,324,322
409,325,318,311
410,325,319,318
411,304,314,297
412,325,326,327
413,305,307,304
414,310,318,320
415,313,321,298
416,328,321,313
417,314,304,309
418,321,329,330
419,302,331,303
420,326,325,323
421,324,332,322
422,331,302,333
423,311,292,291
424,329,328,331
425,334,332,324
426,324,321,330
427,333,329,331
428,330,335,334
429,334,324,330
430,335,330,333
431,328,317,331
432,304,307,309
433,317,303,331
434,330,329,333
435,329,321,328
436,333,302,335
437,299,293,295
438,299,292,310
439,323,296,298
440,311,318,310
441,305,323,325
442,326,323,322
443,300,290,299
444,305,325,311
445,325,327,319
446,323,305,296
447,308,307,291
448,332,326,322
449,336,337,338
450,339,340,341
451,342,336,343
452,344,339,345
453,340,346,341
454,345,347,344
455,348,349,350
456,351,352,353
457,344,343,353
458,354,341,346
459,339,341,355
460,352,340,353
461,351,353,350
462,356,357,358
463,353,343,336
464,353,339,344
465,359,360,361
466,345,339,355
467,362,359,363
468,356,364,357
469,342,344,365
470,347,345,366
471,367,350,349
472,345,368,369
473,337,348,338
474,363,366,370
475,364,351,367
476,367,357,364
477,364,352,351
478,350,367,351
479,352,354,346
480,364,371,352
481,370,366,345
482,354,371,372
483,344,361,365
484,343,344,342
485,372,373,354
486,374,361,375
487,376,341,354
488,363,377,366
489,355,376,378
490,368,345,355
491,352,371,354
492,362,360,359
493,361,360,375
494,346,340,352
495,379,337,336
496,380,342,365
497,380,379,342
498,379,336,342
499,361,344,347
500,336,338,353
501,368,355,378
502,341,376,355
503,338,348,350
504,359,347,366
505,374,380,365
506,381,364,356
507,338,350,353
508,353,340,339
509,363,359,377
510,366,377,359
511,379,380,374
512,371,381,372
513,361,347,359
514,364,381,371
515,374,365,361
516,376,354,373
517,382,383,384
518,385,386,387
519,387,388,385
520,389,390,391
521,392,393,394
522,389,391,385
523,385,395,389
524,390,396,397
525,398,399,400
526,391,390,386
527,401,402,403
528,403,386,401
529,404,405,406
530,403,402,404
531,385,391,386
532,394,393,407
533,408,387,406
534,409,407,393
535,390,389,410
536,389,395,399
537,409,411,407
538,401,390,397
539,412,398,400
540,400,413,414
541,390,410,396
542,386,403,404
543,407,415,394
544,404,406,386
545,416,417,418
546,384,419,382
547,411,409,401
548,420,421,406
549,390,401,386
550,417,408,406
551,417,406,421
552,406,387,386
553,398,410,399
554,402,401,409
555,402,422,404
556,423,397,424
557,384,422,392
558,398,424,410
559,394,419,392
560,405,404,422
561,399,395,425
562,423,424,411
563,407,411,426
564,399,425,400
565,387,427,388
566,428,416,418
567,396,410,424
568,397,423,401
569,401,423,411
570,397,396,424
571,417,427,408
572,413,400,425
573,422,384,383
574,424,398,412
575,393,422,402
576,405,422,383
577,420,406,405
578,418,417,421
579,389,399,410
580,415,407,426
581,402,409,393
582,427,387,408
583,393,392,422
584,392,419,384
585,416,427,417
586,429,430,431
587,432,433,434
588,435,436,437
589,432,438,439
590,440,430,429
591,441,442,443
592,444,445,446
593,436,447,448
594,434,449,450
595,441,451,442
596,452,450,453
597,439,450,452
598,438,434,450
