,X,Y,Z,n_points_0.01,corr_dim_0.01
0,-0.003887,0.00272,-0.002054,693,3.4046142466677607e-06
1,-0.004059,0.001731,-0.001938,662,3.2523154852728106e-06
2,-0.004427,0.00186,-0.002704,653,3.208099715835567e-06
3,-0.00373,0.001724,-0.001301,664,3.2621412118144202e-06
4,-0.00579,0.001184,-0.001027,616,3.0263237748157874e-06
5,-0.005187,0.001126,-0.001643,627,3.0803652707946408e-06
6,-0.005171,0.001286,-0.000568,620,3.0459752278990066e-06
7,-0.004486,0.00155,-0.001272,650,3.1933611260231524e-06
8,-0.004567,0.001326,-0.002006,641,3.1491453565859086e-06
9,-0.005286,0.001311,-0.002555,636,3.1245810402318845e-06
10,-0.006597,0.001191,-0.001077,606,2.977195142107739e-06
11,-0.006638,0.001205,-0.001661,613,3.011585185003373e-06
12,-0.006098,0.001089,-0.001682,609,2.9919337319201537e-06
13,-0.006066,0.001152,-0.000219,609,2.9919337319201537e-06
14,-0.006618,0.001603,-0.002404,628,3.0852781340654456e-06
15,-0.005777,0.001197,-0.002006,623,3.0607138177114215e-06
16,-0.005447,0.002431,-0.002582,662,3.2523154852728106e-06
17,-0.006254,0.003741,-0.001996,686,3.370224203772127e-06
18,-0.005071,0.003346,-0.002048,694,3.4095271099385656e-06
19,-0.007709,0.002474,-0.001975,640,3.144232493315104e-06
20,-0.007437,0.003328,-0.001816,663,3.2572283485436154e-06
21,-0.006805,0.002796,-0.002335,667,3.2768798016268347e-06
22,-0.007732,0.004216,-0.001456,668,3.2817926648976395e-06
23,-0.002545,0.00432,-0.001906,719,3.532348691708687e-06
24,-0.003207,0.003702,-0.001692,710,3.4881329222714435e-06
25,-0.003322,0.004759,-0.001714,716,3.5176101018962724e-06
26,-0.003779,0.005754,-0.001708,698,3.4291785630217852e-06
27,-0.002906,0.006607,-0.001744,684,3.360398477230517e-06
28,-0.002453,0.005504,-0.001751,707,3.4733943324590286e-06
29,-0.00099,0.003489,-0.002839,713,3.502871512083858e-06
30,-0.000715,0.004978,-0.003095,712,3.497958648813053e-06
31,-2.4e-05,0.003536,-0.004005,710,3.4881329222714435e-06
32,-0.000469,0.002656,-0.003071,697,3.4242656997509804e-06
33,-0.001182,0.002209,-0.002291,684,3.360398477230517e-06
34,-0.002122,0.003116,-0.002064,703,3.4537428793758093e-06
35,-0.00287,0.002901,-0.001563,693,3.4046142466677607e-06
36,-0.003059,0.002125,-0.001251,683,3.355485613959712e-06
37,-0.003887,0.00272,-0.002054,693,3.4046142466677607e-06
38,-0.002013,0.006518,-0.002028,692,3.399701383396956e-06
39,-0.001486,0.005724,-0.002296,699,3.43409142629259e-06
40,-0.001703,0.004509,-0.002341,711,3.4930457855422483e-06
41,0.000184,0.002471,-0.003439,688,3.3800499303137367e-06
42,-0.004638,0.004334,-0.001597,702,3.4488300161050045e-06
43,-0.005071,0.003346,-0.002048,694,3.4095271099385656e-06
44,-0.00373,0.001724,-0.001301,664,3.2621412118144202e-06
45,0.000876,0.002481,-0.00407,688,3.3800499303137367e-06
46,-0.002296,0.002892,-0.001404,702,3.4488300161050045e-06
47,-0.002516,0.002598,-0.001138,692,3.399701383396956e-06
48,-0.000869,0.00679,-0.002516,674,3.311269844522469e-06
49,-0.004755,0.03331,0.026115,568,2.7905063378171545e-06
50,-0.006504,0.033228,0.026093,551,2.7069876622134722e-06
51,-0.005783,0.032857,0.025314,560,2.751203431650716e-06
52,-0.003113,0.035532,0.028441,496,2.4367801823192056e-06
53,-0.003226,0.036418,0.029345,448,2.200962745320573e-06
54,-0.00433,0.035806,0.028989,471,2.3139586005490844e-06
55,-0.004073,0.036979,0.029802,422,2.0732283002796467e-06
56,-0.0051,0.034872,0.028207,496,2.4367801823192056e-06
57,-0.005632,0.035653,0.028842,467,2.2943071474658647e-06
58,-0.003899,0.034868,0.028103,507,2.4908216782980586e-06
59,-0.004364,0.034136,0.027306,535,2.6283818498805947e-06
60,-0.008454,0.035711,0.0295,415,2.0388382573840126e-06
61,-0.007202,0.036296,0.030215,390,1.9160166756138913e-06
62,-0.008614,0.03692,0.03112,328,1.6114191528239906e-06
63,-0.005614,0.036595,0.030012,414,2.0339253941132078e-06
64,-0.006901,0.037138,0.031087,349,1.7145892815108926e-06
65,-0.00669,0.035819,0.029333,432,2.122356932987695e-06
66,-0.00324,0.037327,0.029567,440,2.161659839154134e-06
67,-0.002565,0.037592,0.029517,436,2.1420083860709146e-06
68,-0.003193,0.037651,0.029139,446,2.191137018778963e-06
69,-0.005845,0.034005,0.02728,527,2.589078943714156e-06
70,-0.006672,0.035012,0.02828,485,2.3827386863403522e-06
71,-0.00711,0.033976,0.027583,502,2.4662573619440345e-06
72,-0.008318,0.034367,0.028051,480,2.3581743699863277e-06
73,-0.007883,0.033263,0.026897,521,2.559601764089327e-06
74,-0.006821,0.033517,0.02699,527,2.589078943714156e-06
75,-0.002542,0.037505,0.028553,461,2.264829967841036e-06
76,-0.003137,0.037315,0.028195,473,2.323784327090694e-06
77,-0.002861,0.03696,0.029581,440,2.161659839154134e-06
78,-0.002906,0.006607,-0.001744,684,3.360398477230517e-06
79,-0.002433,0.007456,-0.002448,647,3.178622536210738e-06
80,-0.002013,0.006518,-0.002028,692,3.399701383396956e-06
81,-0.003917,0.006822,-0.002176,658,3.232664032189591e-06
82,-0.003779,0.005754,-0.001708,698,3.4291785630217852e-06
83,-0.005209,0.005879,-0.001715,680,3.3407470241472977e-06
84,-0.007732,0.004216,-0.001456,668,3.2817926648976395e-06
85,-0.006356,0.004881,-0.001761,686,3.370224203772127e-06
86,-0.006254,0.003741,-0.001996,686,3.370224203772127e-06
87,-0.005357,0.005811,-0.004054,652,3.203186852564762e-06
88,-0.005667,0.006056,-0.002696,656,3.2228383056479813e-06
89,-0.006408,0.005765,-0.003099,656,3.2228383056479813e-06
90,-0.004638,0.004334,-0.001597,702,3.4488300161050045e-06
91,-0.004169,0.00618,-0.004883,665,3.267054075085225e-06
92,-0.004122,0.006204,-0.004016,669,3.2867055281684443e-06
93,-0.004414,0.006827,-0.002903,642,3.1540582198567134e-06
94,-0.00501,0.006349,-0.003164,650,3.1933611260231524e-06
95,-0.004404,0.006636,-0.003531,649,3.1884482627523476e-06
96,-0.004762,0.006199,-0.003705,656,3.2228383056479813e-06
97,-0.004903,0.006133,-0.004989,644,3.163883946398323e-06
98,-0.003123,0.006765,-0.004694,660,3.242489758731201e-06
99,-0.003778,0.006983,-0.002846,650,3.1933611260231524e-06
100,-0.003268,0.007315,-0.002924,644,3.163883946398323e-06
101,-0.003703,0.006997,-0.003544,643,3.1589710831275183e-06
102,-0.00448,0.006347,-0.005714,661,3.2474026220020058e-06
103,-0.004973,0.006585,-0.002407,655,3.2179254423771765e-06
104,-0.005071,0.003346,-0.002048,694,3.4095271099385656e-06
105,-0.006443,0.005678,-0.002219,676,3.3210955710640784e-06
106,0.001435,0.002843,-0.004471,705,3.463568605917419e-06
107,0.000876,0.002481,-0.00407,688,3.3800499303137367e-06
108,0.001088,0.003244,-0.004741,718,3.527435828437882e-06
109,0.002823,0.003919,-0.00631,729,3.5814773244167354e-06
110,0.002796,0.00393,-0.006971,735,3.6109545040415647e-06
111,0.003504,0.003701,-0.006586,722,3.5470872815211017e-06
112,0.001598,0.004868,-0.005654,728,3.5765644611459306e-06
113,0.001193,0.004307,-0.004912,734,3.6060416407707595e-06
114,0.001062,0.005455,-0.004878,724,3.5569130080627113e-06
115,0.004126,0.003625,-0.005961,713,3.502871512083858e-06
116,0.004632,0.003099,-0.005546,685,3.3653113405013222e-06
117,0.003704,0.002782,-0.005235,681,3.3456598874181025e-06
118,0.002276,0.004531,-0.006431,738,3.625693093853979e-06
119,0.002032,0.004508,-0.007191,740,3.6355188203955888e-06
120,0.00323,0.003628,-0.005805,716,3.5176101018962724e-06
121,0.00194,0.003075,-0.004738,708,3.4783071957298334e-06
122,-2.4e-05,0.003536,-0.004005,710,3.4881329222714435e-06
123,0.002701,0.003415,-0.005103,711,3.4930457855422483e-06
124,0.002888,0.002892,-0.004366,695,3.4144399732093704e-06
125,0.002328,0.004118,-0.005546,733,3.6011287774999546e-06
126,0.001361,0.005211,-0.006513,731,3.591303050958345e-06
127,0.000821,0.005298,-0.007375,726,3.566738734604321e-06
128,0.001483,0.00502,-0.007287,736,3.6158673673123695e-06
129,0.004437,0.003303,-0.00699,711,3.4930457855422483e-06
