,I,J,K
0,0,1,2
1,3,4,5
2,0,4,6
3,7,8,9
4,4,9,6
5,10,0,6
6,4,3,9
7,0,2,4
8,11,12,13
9,9,8,6
10,2,5,4
11,14,15,16
12,17,18,14
13,18,19,14
14,20,19,18
15,21,22,23
16,24,25,26
17,17,27,24
18,26,17,24
19,25,24,28
20,29,16,30
21,31,32,7
22,32,33,20
23,33,34,20
24,32,31,33
25,33,35,34
26,20,34,19
27,34,15,19
28,36,35,37
29,36,38,35
30,38,39,40
31,9,41,7
32,41,9,3
33,7,32,8
34,3,5,41
35,42,5,43
36,44,45,42
37,46,8,47
38,8,46,48
39,49,48,46
40,50,49,46
41,16,51,52
42,53,27,52
43,27,54,52
44,17,14,27
45,16,55,51
46,29,56,55
47,56,29,57
48,51,53,52
49,56,57,58
50,59,60,58
51,61,62,63
52,64,65,66
53,67,11,68
54,69,70,71
55,15,40,30
56,72,23,22
57,15,34,35
58,44,37,45
59,54,27,14
60,8,32,47
61,73,74,75
62,76,77,78
63,72,76,78
64,63,72,22
65,2,79,80
66,2,81,82
67,16,52,14
68,53,24,27
69,38,40,15
70,15,14,19
71,83,59,58
72,84,85,86
73,85,87,86
74,87,50,86
75,88,12,89
76,69,10,90
77,90,6,49
78,76,91,77
79,78,21,23
80,48,49,6
81,62,69,90
82,0,10,69
83,62,61,69
84,65,64,71
85,87,49,50
86,65,71,70
87,25,47,26
88,46,25,50
89,25,28,50
90,84,86,28
91,24,84,28
92,32,20,47
93,47,25,46
94,24,53,84
95,18,26,47
96,47,20,18
97,57,83,58
98,7,41,31
99,92,93,94
100,6,90,10
101,86,50,28
102,62,90,87
103,31,41,45
104,64,95,69
105,96,73,75
106,37,44,97
107,98,36,37
108,37,97,98
109,39,36,98
110,93,92,99
111,100,67,93
112,93,99,100
113,67,100,101
114,0,95,1
115,42,45,41
116,102,103,104
117,105,102,106
118,107,108,109
119,109,103,102
120,110,103,109
121,5,42,41
122,111,112,109
123,112,107,109
124,113,114,111
125,108,110,109
126,114,115,112
127,111,102,105
128,107,112,116
129,109,102,111
130,114,112,111
131,111,105,113
132,65,117,66
133,118,64,66
134,119,118,66
135,120,118,119
136,121,122,123
137,119,124,120
138,96,75,125
139,121,119,122
140,126,124,121
141,125,75,124
142,118,1,64
143,125,124,126
144,124,119,121
145,123,126,121
146,81,124,127
147,128,129,73
148,81,1,124
149,130,131,132
150,82,127,74
151,79,43,80
152,130,133,134
153,132,135,130
154,75,74,127
155,82,81,127
156,136,137,138
157,139,79,82
158,140,136,133
159,134,141,130
160,1,118,124
161,128,131,141
162,139,43,79
163,139,142,143
164,144,145,140
165,143,129,136
166,43,139,143
167,43,143,138
168,124,75,127
169,141,134,128
170,145,137,136
171,138,143,136
172,73,82,74
173,139,82,142
174,82,73,142
175,136,140,145
176,129,143,142
177,136,129,128
178,128,134,136
179,133,136,134
180,141,131,130
181,129,142,73
182,118,120,124
183,2,80,5
184,5,80,43
185,146,11,147
186,148,149,146
187,135,133,130
188,144,150,148
189,72,78,23
190,151,152,140
191,150,144,152
192,151,140,133
193,151,153,152
194,150,152,94
195,154,152,153
196,148,150,149
197,154,94,152
198,154,153,92
199,154,92,94
200,133,135,151
201,11,13,147
202,112,115,116
203,61,63,155
204,85,91,76
205,63,22,155
206,85,72,87
207,62,72,63
208,62,87,72
209,156,122,119
210,66,117,119
211,119,117,156
212,13,12,88
213,11,89,12
214,59,157,60
215,158,159,160
216,157,59,160
217,161,162,159
218,29,55,16
219,30,57,29
220,159,158,161
221,158,88,89
222,81,2,1
223,101,163,67
224,11,67,163
225,43,44,42
226,97,44,43
227,138,137,43
228,137,97,43
229,147,164,146
230,137,164,97
231,137,145,165
232,165,164,137
233,164,165,148
234,164,148,146
235,148,165,144
236,165,145,144
237,106,166,89
238,39,38,36
239,106,89,163
240,163,105,106
241,163,114,113
242,166,158,89
243,37,33,45
244,113,105,163
245,147,97,164
246,167,40,39
247,147,98,97
248,167,57,40
249,39,98,147
250,168,83,167
251,83,168,59
252,39,168,167
253,13,168,147
254,88,59,168
255,147,168,39
256,13,88,168
257,167,83,57
258,162,161,104
259,158,160,88
260,106,104,166
261,166,104,161
262,82,79,2
263,149,11,146
264,67,68,93
265,150,68,149
266,68,11,149
267,93,68,150
268,150,94,93
269,115,114,169
270,114,101,169
271,101,114,163
272,69,71,64
273,166,161,158
274,87,90,49
275,38,15,35
276,37,35,33
277,45,33,31
278,104,106,102
279,140,152,144
280,88,160,59
281,76,72,85
282,64,1,95
283,48,6,8
284,30,40,57
285,18,17,26
286,70,69,61
287,0,69,95
288,30,16,15
289,54,14,52
290,11,163,89
291,170,171,172
292,173,174,175
293,176,177,178
294,179,180,181
295,182,183,184
296,185,186,187
297,188,189,190
298,191,192,193
299,194,195,196
300,197,198,199
301,200,201,202
302,193,203,191
303,192,191,195
304,195,191,196
305,204,201,205
306,192,195,206
307,206,195,194
308,207,179,181
309,208,187,209
310,193,192,207
311,210,193,207
312,181,211,207
313,207,211,210
314,212,213,214
315,215,216,217
316,218,219,220
317,221,222,204
318,216,215,223
319,224,215,198
320,225,226,214
321,216,219,218
322,227,228,229
323,230,231,232
324,223,219,216
325,233,234,218
326,216,234,217
327,235,236,186
328,218,234,216
329,237,175,174
330,218,238,239
331,189,231,240
332,183,241,242
333,224,223,243
334,244,225,245
335,246,223,224
336,247,248,249
337,247,250,248
338,251,249,248
339,248,252,251
340,253,249,251
341,243,215,224
342,177,222,254
343,176,253,177
344,255,242,256
345,232,231,257
346,183,182,241
347,258,259,221
348,236,221,259
349,260,258,221
350,261,240,230
351,262,261,263
352,261,264,240
353,265,266,263
354,263,261,265
355,265,261,230
356,212,267,265
357,267,214,268
358,265,267,266
359,268,266,267
360,227,269,228
361,247,175,250
362,270,265,230
363,224,271,246
364,212,214,267
365,272,184,273
366,261,262,264
367,233,218,239
368,200,177,253
369,173,249,256
370,235,185,254
371,186,185,235
372,182,274,241
373,187,275,209
374,271,236,259
375,271,186,236
376,229,276,277
377,278,171,170
378,279,280,281
379,208,209,256
380,273,183,242
381,254,222,236
382,249,173,247
383,222,221,236
384,256,209,255
385,279,282,280
386,213,245,214
387,201,204,202
388,283,284,213
389,212,283,213
390,283,212,285
391,212,265,286
392,244,205,287
393,285,288,283
394,209,272,273
395,232,289,270
396,285,212,286
397,222,202,204
398,290,285,257
399,282,279,290
400,253,251,200
401,290,288,285
402,200,222,177
403,291,258,260
404,200,202,222
405,197,187,186
406,257,289,232
407,292,293,226
408,286,289,257
409,179,206,292
410,226,293,214
411,190,282,188
412,246,219,223
413,285,286,257
414,279,288,290
415,226,225,294
416,289,286,270
417,183,273,184
418,231,188,290
419,257,231,290
420,180,292,226
421,179,292,180
422,206,194,292
423,206,207,192
424,293,292,295
425,292,194,296
426,226,294,180
427,206,179,207
428,295,292,296
429,271,297,298
430,215,243,223
431,299,182,184
432,276,234,277
433,224,197,186
434,298,300,278
435,271,298,246
436,228,276,229
437,280,171,281
438,171,300,281
439,205,244,245
440,300,171,278
441,276,217,234
442,218,220,238
443,220,278,238
444,252,200,251
445,242,241,174
446,244,287,301
447,219,298,278
448,209,275,272
449,225,214,245
450,219,246,298
451,219,278,220
452,230,232,270
453,281,288,279
454,200,287,201
455,288,281,284
456,258,302,259
457,297,302,298
458,291,281,300
459,185,178,254
460,252,287,200
461,298,302,300
462,291,302,258
463,284,281,291
464,291,300,302
465,302,297,259
466,291,213,284
467,260,213,291
468,288,284,283
469,277,303,304
470,187,197,275
471,217,228,215
472,186,271,224
473,256,174,173
474,255,209,273
475,274,305,237
476,250,175,237
477,245,213,260
478,282,290,188
479,299,184,272
480,198,228,269
481,297,271,259
482,237,174,274
483,248,287,252
484,193,210,203
485,248,250,306
486,233,277,234
487,249,176,256
488,211,307,210
489,293,268,214
490,293,295,268
491,295,296,308
492,308,266,295
493,309,301,310
494,301,287,306
495,194,311,296
496,312,311,313
497,266,308,314
498,272,275,299
499,296,314,308
500,229,277,304
501,189,315,190
502,316,314,296
503,299,275,317
504,309,294,301
505,316,311,318
506,313,311,194
507,309,211,181
508,266,314,263
509,306,310,301
510,311,316,296
511,314,316,318
512,319,250,237
513,287,248,306
514,301,225,244
515,180,309,181
516,250,319,306
517,211,310,320
518,277,233,303
519,320,310,319
520,321,314,318
521,201,287,205
522,217,276,228
523,260,204,245
524,317,275,199
525,268,295,266
526,263,314,321
527,221,204,260
528,189,240,315
529,306,319,310
530,198,197,224
531,177,254,178
532,309,310,211
533,208,178,185
534,225,301,294
535,319,237,320
536,199,275,197
537,320,237,305
538,228,198,215
539,307,211,320
540,255,273,242
541,180,294,309
542,208,176,178
543,256,176,208
544,256,242,174
545,227,229,304
546,241,274,174
547,185,187,208
548,236,235,254
549,249,253,176
550,247,173,175
551,188,231,189
552,238,278,170
553,172,280,282
554,265,270,286
555,280,172,171
556,230,240,231
557,245,204,205
558,320,305,307
559,322,323,324
560,325,326,327
561,326,328,329
562,330,324,323
563,331,332,333
564,334,335,336
565,337,338,339
566,340,341,342
567,343,344,345
568,346,341,340
569,347,348,349
570,341,350,342
571,351,352,353
572,354,355,356
573,357,333,358
574,346,359,360
575,361,362,363
576,364,365,366
577,367,368,369
578,370,362,371
579,372,349,348
580,373,374,375
581,376,377,378
582,379,380,381
583,382,381,380
584,383,384,385
585,373,386,387
586,388,327,387
587,389,390,391
588,392,393,384
589,394,338,395
590,387,395,388
591,388,395,338
592,396,397,388
593,398,338,337
594,338,396,388
595,367,399,368
596,400,374,401
597,336,335,402
598,380,403,404
599,405,388,397
600,406,407,390
601,408,409,339
602,398,337,410
603,408,339,411
604,339,409,337
605,412,413,414
606,415,416,417
607,410,415,418
608,415,410,416
609,419,324,330
610,416,420,417
611,421,417,420
612,422,354,356
613,423,354,424
614,422,425,426
615,424,422,426
616,427,428,429
617,430,431,432
618,433,403,434
619,426,425,435
620,436,437,356
621,438,439,440
622,414,421,441
623,441,426,435
624,432,442,443
625,442,426,443
626,413,412,444
627,445,432,443
628,429,417,427
629,421,443,441
630,446,447,448
631,412,441,435
632,449,427,417
