,I,J,K
0,0,1,2
1,3,4,5
2,6,4,3
3,6,7,4
4,8,9,10
5,4,7,11
6,10,12,11
7,10,11,7
8,10,13,8
9,14,15,16
10,17,14,16
11,18,6,19
12,6,20,19
13,21,22,23
14,23,22,24
15,22,21,25
16,22,26,27
17,20,6,28
18,20,28,29
19,3,29,28
20,28,6,3
21,30,31,32
22,31,30,25
23,15,14,32
24,32,31,21
25,33,34,35
26,26,36,34
27,13,7,6
28,36,26,8
29,37,38,39
30,12,37,39
31,37,12,10
32,35,34,18
33,26,34,40
34,22,27,40
35,6,18,13
36,7,13,10
37,24,22,40
38,33,40,34
39,41,33,35
40,34,36,18
41,42,24,40
42,13,18,8
43,36,8,18
44,43,41,19
45,33,42,40
46,33,41,42
47,40,27,26
48,35,18,19
49,35,19,41
50,9,44,45
51,17,30,32
52,46,8,26
53,26,22,46
54,30,47,48
55,48,46,22
56,44,48,47
57,9,45,37
58,25,30,48
59,25,48,22
60,32,14,17
61,46,44,9
62,9,8,46
63,2,38,37
64,44,46,48
65,10,9,37
66,45,2,37
67,31,25,21
68,17,47,30
69,45,44,49
70,44,47,49
71,45,49,0
72,2,45,0
73,12,5,11
74,4,11,5
75,50,51,52
76,50,52,53
77,54,55,56
78,57,58,59
79,58,60,59
80,61,62,63
81,64,65,61
82,66,62,61
83,61,65,66
84,67,68,69
85,70,69,68
86,71,56,72
87,71,54,56
88,73,74,54
89,75,73,54
90,59,76,57
91,73,59,74
92,73,76,59
93,59,60,74
94,77,71,72
95,78,79,80
96,78,80,81
97,80,82,83
98,84,81,80
99,50,78,81
100,82,80,79
101,85,86,87
102,62,88,89
103,62,89,90
104,62,66,88
105,90,89,86
106,86,85,90
107,91,85,87
108,90,85,92
109,93,94,95
110,73,96,97
111,98,99,100
112,101,102,103
113,104,105,106
114,107,108,101
115,104,102,105
116,105,101,108
117,101,105,102
118,109,64,61
119,64,109,110
120,110,69,64
121,70,111,112
122,112,111,113
123,114,115,112
124,112,113,114
125,113,116,114
126,112,64,69
127,117,118,119
128,120,116,113
129,120,113,111
130,115,64,112
131,64,121,65
132,116,115,114
133,121,122,65
134,70,112,69
135,123,122,124
136,121,64,115
137,120,121,115
138,121,125,122
139,125,124,122
140,116,120,115
141,97,76,73
142,110,109,126
143,87,57,127
144,91,87,127
145,128,129,130
146,131,132,130
147,133,134,52
148,135,136,137
149,134,133,137
150,52,51,135
151,92,85,91
152,138,91,127
153,129,134,137
154,137,136,130
155,133,52,137
156,53,52,134
157,139,91,138
158,135,137,52
159,50,140,141
160,53,134,142
161,136,135,143
162,137,130,129
163,131,130,136
164,140,53,142
165,144,134,129
166,142,145,140
167,53,140,50
168,144,142,134
169,128,144,129
170,130,132,146
171,50,141,78
172,144,128,147
173,65,123,148
174,124,149,123
175,149,124,150
176,123,65,122
177,127,151,138
178,138,152,139
179,152,138,151
180,152,97,119
181,67,69,93
182,99,119,100
183,99,153,117
184,152,118,139
185,118,152,119
186,154,117,155
187,100,97,156
188,100,119,97
189,76,127,57
190,96,156,97
191,151,127,76
192,117,110,155
193,148,66,65
194,148,88,66
195,157,149,150
196,158,89,88
197,123,149,157
198,150,159,157
199,89,158,86
200,123,160,148
201,148,160,88
202,159,160,157
203,157,160,123
204,161,160,159
205,162,163,164
206,165,139,118
207,163,166,161
208,78,141,79
209,167,147,166
210,162,164,168
211,161,166,147
212,166,103,167
213,166,162,168
214,142,144,169
215,117,119,99
216,169,103,102
217,170,145,169
218,145,141,140
219,161,147,171
220,169,167,103
221,147,167,144
222,158,88,160
223,99,98,172
224,144,167,169
225,158,160,161
226,173,104,174
227,175,174,106
228,170,141,145
229,173,176,170
230,169,102,170
231,106,174,104
232,141,170,176
233,169,145,142
234,99,172,94
235,176,79,141
236,174,176,173
237,168,103,166
238,79,176,177
239,118,117,154
240,153,99,94
241,107,101,103
242,154,165,118
243,79,177,82
244,171,86,158
245,175,176,174
246,173,170,102
247,162,166,163
248,175,106,178
249,159,163,161
250,171,158,161
251,173,102,104
252,177,176,175
253,152,151,97
254,151,76,97
255,110,117,153
256,172,179,94
257,165,154,155
258,153,94,93
259,110,153,93
260,95,94,179
261,67,93,95
262,69,110,93
263,63,126,109
264,61,63,109
265,110,126,155
266,75,54,71
267,55,54,74
268,180,146,143
269,128,87,171
270,164,107,168
271,128,130,58
272,60,58,146
273,143,135,181
274,60,146,182
275,86,171,87
276,168,107,103
277,146,132,131
278,131,136,143
279,146,131,143
280,90,92,62
281,92,126,63
282,62,92,63
283,165,92,91
284,91,139,165
285,126,165,155
286,165,126,92
287,128,171,147
288,128,58,57
289,87,128,57
290,58,130,146
291,180,182,146
292,143,183,180
293,181,183,143
294,184,185,186
295,186,185,187
296,188,189,190
297,187,190,191
298,192,193,194
299,190,195,196
300,195,189,197
301,198,197,199
302,189,195,190
303,197,198,195
304,190,200,191
305,201,185,184
306,188,187,185
307,202,203,204
308,205,206,207
309,205,208,209
310,207,208,205
311,210,211,212
312,209,213,214
313,208,207,211
314,209,215,205
315,215,209,214
316,216,211,207
317,215,217,205
318,205,217,206
319,188,190,187
320,218,215,214
321,203,219,220
322,221,215,218
323,222,223,221
324,222,221,218
325,223,222,224
326,225,221,223
327,226,219,227
328,185,201,188
329,197,189,188
330,228,229,230
331,227,229,226
332,229,231,226
333,230,229,227
334,231,229,228
335,202,230,219
336,232,202,204
337,227,219,230
338,202,232,230
339,233,195,193
340,196,195,233
341,193,195,198
342,193,198,194
343,194,198,234
344,196,233,235
345,200,196,235
346,190,196,200
347,220,219,236
348,219,226,236
349,236,226,192
350,194,236,192
351,194,237,236
352,238,236,237
353,239,236,238
354,238,237,239
355,203,202,219
356,240,241,242
357,186,243,184
358,244,243,245
359,188,244,199
360,184,244,201
361,241,244,246
362,211,216,212
363,217,246,247
364,221,242,215
365,248,198,241
366,248,225,249
367,225,248,240
368,206,250,216
369,206,251,250
370,241,246,242
371,252,251,253
372,253,245,252
373,242,217,215
374,249,234,248
375,250,212,216
376,217,242,246
377,241,240,248
378,201,244,188
379,206,247,253
380,234,198,248
381,206,216,207
382,241,199,244
383,206,253,251
384,247,245,253
385,247,206,217
386,245,246,244
387,245,247,246
388,184,243,244
389,198,199,241
390,221,240,242
391,234,249,237
392,225,240,221
393,197,188,199
394,237,194,234
395,239,237,249
396,254,255,256
397,257,258,259
398,260,261,262
399,263,264,265
400,265,266,263
401,264,267,265
402,267,264,268
403,254,256,269
404,270,267,268
405,254,269,255
406,267,270,271
407,272,273,274
408,273,275,276
409,277,278,279
410,280,281,282
411,283,284,285
412,283,285,286
413,287,281,280
414,288,278,289
415,290,277,291
416,274,282,281
417,287,274,281
418,292,285,287
419,287,285,274
420,293,275,273
421,272,284,293
422,273,290,291
423,294,282,291
424,295,296,297
425,297,298,295
426,299,300,297
427,300,301,302
428,300,299,301
429,303,298,297
430,304,305,299
431,306,299,297
432,301,299,305
433,296,306,297
434,270,296,271
435,304,307,305
436,306,296,270
437,308,303,302
438,300,303,297
439,302,303,300
440,304,299,306
441,296,295,309
442,296,310,271
443,310,296,309
444,311,312,313
445,313,312,314
446,315,276,316
447,317,312,318
448,314,312,317
449,318,312,319
450,318,320,321
451,278,315,313
452,322,321,320
453,319,312,311
454,288,315,278
455,315,311,313
456,319,316,320
457,318,319,320
458,319,311,315
459,316,319,315
460,276,315,288
461,322,320,316
462,275,322,316
463,274,285,284
464,291,274,273
465,276,290,273
466,272,274,284
467,291,282,274
468,291,277,294
469,290,276,288
470,273,272,293
471,284,283,293
472,277,290,289
473,276,275,316
474,289,290,288
475,278,277,289
476,323,324,325
477,323,326,324
478,262,327,260
479,261,325,328
480,329,330,309
481,331,332,333
482,266,334,335
483,332,335,333
484,266,335,256
485,332,331,336
486,331,333,337
487,332,338,256
488,334,339,335
489,259,332,336
490,336,331,337
491,340,333,339
492,336,337,341
493,340,310,333
494,332,259,338
495,333,335,339
496,330,333,310
497,332,256,335
498,338,259,258
499,267,271,310
500,310,309,330
501,265,340,339
502,310,340,265
503,326,342,343
504,326,308,342
505,326,344,308
506,345,344,326
507,324,346,347
508,348,285,292
509,324,326,346
510,349,259,341
511,344,345,350
512,351,295,298
513,350,351,298
514,352,275,293
515,353,354,327
516,349,348,292
517,355,327,351
518,356,357,329
519,358,262,359
520,355,260,327
521,351,327,354
522,328,360,261
523,361,354,362
524,358,359,357
525,362,353,358
526,298,303,350
527,351,361,295
528,309,356,329
529,260,355,323
530,349,292,259
531,353,362,354
532,262,261,360
533,308,344,303
534,257,259,292
535,337,363,364
536,345,326,323
537,363,333,330
538,352,359,262
539,327,358,353
540,363,330,329
541,286,364,357
542,359,352,293
543,337,364,341
544,348,349,341
545,260,323,261
546,357,356,362
547,360,352,262
548,350,345,355
549,362,358,357
550,348,341,285
551,341,364,286
552,326,343,346
553,364,329,357
554,351,354,361
555,286,285,341
556,359,365,357
557,262,358,327
558,360,322,352
559,352,322,275
560,283,365,293
561,356,295,361
562,295,356,309
563,259,336,341
564,350,355,351
565,286,357,365
566,322,360,321
567,261,323,325
568,361,362,356
569,363,329,364
570,350,303,344
571,359,293,365
572,337,333,363
573,283,286,365
574,355,345,323
575,366,256,338
576,267,310,265
577,334,265,339
578,258,366,338
579,266,265,334
580,256,255,266
581,321,360,367
582,328,367,360
583,317,367,368
584,367,328,368
585,367,318,321
586,317,318,367
587,369,370,371
588,372,373,374
589,375,376,377
590,378,374,379
591,377,376,374
592,378,379,380
593,381,382,383
594,384,374,376
595,385,382,386
596,387,385,386
597,388,373,372
598,389,387,386
599,389,390,387
600,387,390,391
601,392,393,394
602,395,393,385
603,396,395,387
604,394,393,396
605,397,398,373
606,374,398,399
607,393,395,396
608,373,388,397
609,397,400,401
610,399,398,402
611,373,398,374
612,402,398,397
613,403,404,390
614,405,406,407
615,391,390,404
616,385,393,392
617,395,385,387
618,391,404,408
619,378,377,374
620,409,377,378
621,399,379,374
622,376,375,410
623,411,412,413
624,414,415,416
625,416,417,418
626,418,414,416
627,401,419,420
628,420,421,401
629,401,421,422
630,423,422,421
631,421,420,424
632,380,425,413
