,X,Y,Z,n_points_0.01,corr_dim_0.01
0,0.071761,0.102724,-0.033098,83,1.3355752954621218e-07
1,0.074081,0.102664,-0.033213,81,1.3033927582220705e-07
2,0.073854,0.104866,-0.034507,65,1.0459324603016616e-07
3,0.073443,0.10078,-0.042762,82,1.3194840268420962e-07
4,0.072176,0.102571,-0.041796,81,1.3033927582220705e-07
5,0.0741,0.103925,-0.04076,68,1.0942062661617383e-07
6,0.070143,0.099934,-0.042872,83,1.3355752954621218e-07
7,0.071155,0.102157,-0.04087,90,1.4482141758023006e-07
8,0.06773,0.099914,-0.039001,114,1.8344046226829143e-07
9,0.068637,0.102819,-0.03689,92,1.480396713042352e-07
10,0.070731,0.103162,-0.038953,85,1.367757832702173e-07
11,0.072464,0.103771,-0.040453,72,1.1585713406418405e-07
12,0.073309,0.105779,-0.039402,63,1.0137499230616105e-07
13,0.069591,0.100603,-0.040559,106,1.7056744737227098e-07
14,0.061451,0.093116,-0.032222,163,2.622876785064167e-07
15,0.059984,0.090643,-0.032223,166,2.6711505909242437e-07
16,0.060096,0.093195,-0.030513,181,2.912519620224627e-07
17,0.062934,0.095287,-0.032636,148,2.3815077557637834e-07
18,0.067802,0.097816,-0.040999,125,2.0114085775031954e-07
19,0.067412,0.096189,-0.043909,132,2.1240474578433745e-07
20,0.069713,0.097032,-0.04498,116,1.8665871599229653e-07
21,0.05968,0.094769,-0.035785,164,2.6389680536841923e-07
22,0.062704,0.096317,-0.037394,137,2.2045038009435023e-07
23,0.06063,0.094277,-0.037672,151,2.42978156162386e-07
24,0.061314,0.093891,-0.039445,144,2.317142681283681e-07
25,0.061531,0.096907,-0.035284,145,2.3332339499037067e-07
26,0.064998,0.097542,-0.038742,131,2.1079561892233489e-07
27,0.063835,0.096362,-0.038421,134,2.1562299950834256e-07
28,0.071356,0.099069,-0.043996,91,1.4643054444223263e-07
29,0.072148,0.097241,-0.044073,111,1.7861308168228376e-07
30,0.062266,0.096844,-0.033838,145,2.3332339499037067e-07
31,0.060788,0.095873,-0.034466,160,2.57460297920409e-07
32,0.060539,0.094078,-0.033368,164,2.6389680536841923e-07
33,0.064329,0.094937,-0.041874,142,2.28496014404363e-07
34,0.065383,0.096883,-0.040905,133,2.1401387264634e-07
35,0.066267,0.096031,-0.042321,141,2.2688688754236044e-07
36,0.066468,0.097973,-0.039849,137,2.2045038009435023e-07
37,0.072269,0.105348,-0.037002,65,1.0459324603016616e-07
38,0.07522,0.107172,-0.036326,51,8.206546996213037e-08
39,0.074311,0.107468,-0.038313,50,8.045634310012782e-08
40,0.063467,0.095523,-0.039915,140,2.252777606803579e-07
41,0.065312,0.094107,-0.043016,150,2.413690293003835e-07
42,0.062251,0.092154,-0.042648,171,2.751606934024371e-07
43,0.065245,0.092862,-0.045003,174,2.799880739884448e-07
44,0.066641,0.101257,-0.034715,88,1.4160316385622496e-07
45,0.070194,0.103303,-0.034707,87,1.399940369942224e-07
46,0.065486,0.099731,-0.036917,109,1.7539482795827865e-07
47,0.065145,0.098257,-0.033463,114,1.8344046226829143e-07
48,0.063755,0.09873,-0.035209,125,2.0114085775031954e-07
49,0.068889,0.100784,-0.032835,96,1.544761787522454e-07
50,-0.020913,0.125389,0.004179,114,1.8344046226829143e-07
51,-0.01897,0.125789,0.004075,113,1.8183133540628886e-07
52,-0.020164,0.126393,0.002103,115,1.85049589130294e-07
53,-0.021629,0.126513,0.002167,120,1.9309522344030677e-07
54,-0.011986,0.125497,-0.006875,130,2.0918649206033232e-07
55,-0.012735,0.125,-0.00551,118,1.8987696971630164e-07
56,-0.010392,0.12359,-0.00517,127,2.0435911147432465e-07
57,-0.01886,0.126364,-0.00619,124,1.9953173088831698e-07
58,-0.017753,0.126461,-0.004411,117,1.882678428542991e-07
59,-0.016371,0.126106,-0.006328,115,1.85049589130294e-07
60,-0.015505,0.125701,-0.004572,112,1.8022220854428632e-07
61,-0.02728,0.127804,-0.009202,120,1.9309522344030677e-07
62,-0.025808,0.127738,-0.007707,119,1.914860965783042e-07
63,-0.026248,0.12683,-0.009328,129,2.0757736519832978e-07
64,-0.027934,0.128236,-0.012185,107,1.7217657423427352e-07
65,-0.029062,0.128136,-0.008639,102,1.6413093992426075e-07
66,-0.027351,0.128023,-0.00756,105,1.6895832051026842e-07
67,-0.024009,0.126945,-0.017434,125,2.0114085775031954e-07
68,-0.024464,0.128284,-0.018691,111,1.7861308168228376e-07
69,-0.026038,0.127815,-0.015801,106,1.7056744737227098e-07
70,-0.026278,0.128887,-0.017928,93,1.4964879816623773e-07
71,-0.009527,0.12483,-0.007631,138,2.2205950695635277e-07
72,-0.007795,0.124134,-0.006393,131,2.1079561892233489e-07
73,-0.014239,0.12518,-0.00824,143,2.3010514126636557e-07
74,-0.01412,0.12555,-0.006094,122,1.9631347716431187e-07
75,-0.010772,0.125537,-0.009081,142,2.28496014404363e-07
76,-0.017545,0.125753,-0.008118,119,1.914860965783042e-07
77,-0.006907,0.124759,-0.008685,144,2.317142681283681e-07
78,-0.021893,0.124342,0.004616,117,1.882678428542991e-07
79,-0.022475,0.122848,0.004181,123,1.9792260402631444e-07
80,-0.022917,0.123898,0.005549,115,1.85049589130294e-07
81,-0.021833,0.125106,0.005757,112,1.8022220854428632e-07
82,-0.023258,0.122039,0.005049,123,1.9792260402631444e-07
83,-0.023957,0.122408,0.005846,118,1.8987696971630164e-07
84,-0.023561,0.125748,0.006999,94,1.512579250282403e-07
85,-0.02326,0.126507,-0.007292,140,2.252777606803579e-07
86,-0.02366,0.127201,-0.005892,123,1.9792260402631444e-07
87,-0.021545,0.12679,-0.006432,126,2.027499846123221e-07
88,-0.026551,0.127633,-0.006084,118,1.8987696971630164e-07
89,-0.024889,0.127499,-0.006255,119,1.914860965783042e-07
90,-0.024299,0.127279,-0.007149,128,2.0596823833632721e-07
91,-0.022279,0.126093,-0.008637,127,2.0435911147432465e-07
92,-0.024638,0.126163,-0.008641,132,2.1240474578433745e-07
93,-0.024692,0.126212,-0.01518,124,1.9953173088831698e-07
94,-0.023013,0.124974,-0.014272,147,2.3654164871437578e-07
95,-0.022403,0.125407,-0.016505,153,2.4619640988639114e-07
96,-0.014278,0.123725,-0.009453,171,2.751606934024371e-07
97,-0.017411,0.125291,-0.01011,161,2.5906942478241156e-07
98,-0.020837,0.121133,-0.011757,136,2.1884125323234766e-07
99,-0.022433,0.124448,-0.012009,141,2.2688688754236044e-07
100,-0.01908,0.122947,-0.010577,158,2.542420441964039e-07
101,-0.025821,0.123458,-0.00023,139,2.2366863381835533e-07
102,-0.024465,0.12236,6.2e-05,134,2.1562299950834256e-07
103,-0.024543,0.122596,-0.001538,134,2.1562299950834256e-07
104,-0.024929,0.121382,0.001126,127,2.0435911147432465e-07
105,-0.02603,0.122336,0.001237,136,2.1884125323234766e-07
106,-0.026124,0.120091,0.002452,134,2.1562299950834256e-07
107,-0.026508,0.123375,-0.00157,144,2.317142681283681e-07
108,-0.028403,0.122859,0.000447,149,2.397599024383809e-07
109,-0.026843,0.127254,-0.010866,126,2.027499846123221e-07
110,-0.025786,0.126794,-0.012791,122,1.9631347716431187e-07
111,-0.027964,0.128849,-0.018267,92,1.480396713042352e-07
112,-0.027901,0.128839,-0.015744,98,1.576944324762505e-07
113,-0.028868,0.128804,-0.016148,95,1.5286705189024287e-07
114,-0.028859,0.128891,-0.015302,96,1.544761787522454e-07
115,-0.029371,0.129167,-0.014135,96,1.544761787522454e-07
116,-0.029298,0.128704,-0.015203,98,1.576944324762505e-07
117,-0.023454,0.127171,-0.012438,116,1.8665871599229653e-07
118,-0.022404,0.127618,-0.011016,116,1.8665871599229653e-07
119,-0.02109,0.125772,-0.01097,124,1.9953173088831698e-07
