,I,J,K
0,0,1,2
1,3,0,2
2,4,5,6
3,6,7,8
4,9,10,6
5,4,6,10
6,5,11,7
7,11,12,13
8,11,5,12
9,9,6,8
10,6,5,7
11,14,15,16
12,17,18,19
13,16,20,14
14,20,16,21
15,16,22,23
16,22,16,15
17,24,21,16
18,24,16,23
19,21,25,20
20,15,26,27
21,17,19,28
22,17,28,25
23,29,30,19
24,31,18,17
25,19,30,28
26,18,32,19
27,29,19,32
28,20,25,28
29,20,30,14
30,20,28,30
31,26,15,33
32,30,33,14
33,15,14,33
34,30,34,33
35,30,29,34
36,22,15,27
37,35,36,37
38,36,35,38
39,39,40,41
40,39,41,42
41,39,42,43
42,44,45,38
43,46,39,43
44,43,42,47
45,44,48,45
46,45,48,38
47,49,50,51
48,50,52,51
49,43,52,46
50,51,38,49
51,49,38,35
52,52,38,51
53,36,38,48
54,38,52,53
55,53,54,44
56,54,55,44
57,52,47,54
58,55,54,42
59,47,42,54
60,52,43,47
61,53,52,54
62,39,56,40
63,39,57,56
64,44,38,53
65,58,59,60
66,60,59,61
67,62,63,64
68,65,60,61
69,66,67,61
70,65,68,69
71,60,65,70
72,71,61,59
73,72,73,74
74,75,63,62
75,72,74,63
76,68,76,77
77,64,78,79
78,78,77,79
79,79,80,64
80,65,67,76
81,69,68,70
82,64,70,68
83,64,68,78
84,62,64,80
85,70,64,74
86,74,64,63
87,66,61,71
88,74,73,81
89,70,65,69
90,81,60,70
91,63,75,72
92,81,73,82
93,68,65,76
94,60,81,58
95,83,58,81
96,81,70,74
97,68,77,78
98,61,67,65
99,81,82,83
100,84,85,86
101,87,88,89
102,87,90,88
103,91,92,93
104,91,93,94
105,93,92,95
106,89,96,87
107,97,98,92
108,97,92,91
109,99,97,91
110,100,101,102
111,101,85,103
112,100,85,101
113,85,100,86
114,86,96,84
115,95,100,93
116,86,100,95
117,86,95,104
118,87,86,104
119,105,104,95
120,86,87,96
121,87,104,90
122,105,92,106
123,92,105,95
124,100,102,93
125,92,98,106
126,107,98,97
127,106,98,107
128,96,108,84
129,109,107,97
130,97,99,109
131,108,96,89
132,93,102,94
133,110,111,84
134,110,89,88
135,108,89,110
136,108,110,84
137,112,113,114
138,114,115,112
139,116,117,118
140,119,120,121
141,117,116,122
142,117,122,123
143,124,125,123
144,124,123,126
145,127,128,129
146,114,130,131
147,130,120,119
148,132,130,128
149,128,127,133
150,134,128,135
151,118,123,125
152,128,133,132
153,134,114,113
154,114,134,135
155,135,130,114
156,135,128,130
157,136,137,138
158,112,139,137
159,137,136,112
160,115,139,112
161,119,126,123
162,115,131,116
163,121,120,140
164,132,120,130
165,115,116,141
166,118,117,123
167,119,121,126
168,130,119,122
169,129,128,134
170,118,141,116
171,116,131,122
