,X,Y,Z,n_points_0.01,corr_dim_0.01
0,-0.024769,0.045405,0.054895,106,5.006338189451465e-07
1,-0.025501,0.044168,0.056495,102,4.817419767208013e-07
2,-0.022899,0.044313,0.056105,104,4.911878978329739e-07
3,-0.022417,0.045439,0.054161,111,5.242486217255779e-07
4,0.034419,0.068911,0.057693,79,3.731138839308167e-07
5,0.034165,0.071286,0.058179,67,3.1643835725778126e-07
6,0.032749,0.069854,0.055719,75,3.542220417064716e-07
7,0.031855,0.072804,0.055604,53,2.503169094725732e-07
8,0.031765,0.070215,0.052511,90,4.250664500477659e-07
9,0.032324,0.067646,0.053711,82,3.872827655990756e-07
10,0.033711,0.067565,0.056045,85,4.014516472673345e-07
11,0.035492,0.073795,0.056533,63,2.975465150334361e-07
12,0.037458,0.071166,0.058735,74,3.494990811503853e-07
13,0.038543,0.07303,0.057869,69,3.258842783699539e-07
14,0.054151,0.076194,0.051988,69,3.258842783699539e-07
15,0.051595,0.076397,0.051207,81,3.825598050429893e-07
16,0.051906,0.075257,0.054584,68,3.2116131781386754e-07
17,0.056721,0.071848,0.049322,85,4.014516472673345e-07
18,0.060305,0.07231,0.046836,67,3.1643835725778126e-07
19,0.058873,0.073524,0.04994,65,3.069924361456087e-07
20,0.054648,0.07414,0.053258,74,3.494990811503853e-07
21,0.052114,0.072763,0.053708,80,3.77836844486903e-07
22,0.049604,0.076203,0.053601,68,3.2116131781386754e-07
23,0.048517,0.07511,0.05611,64,3.022694755895224e-07
24,0.050245,0.072165,0.056121,78,3.6839092337473044e-07
25,0.054463,0.072049,0.05218,82,3.872827655990756e-07
26,0.049872,0.075972,0.047216,120,5.667552667303545e-07
27,0.048437,0.076245,0.050821,94,4.4395829227211104e-07
28,0.056791,0.073057,0.05199,70,3.3060723892604016e-07
29,0.059413,0.076032,0.048962,58,2.739317122530047e-07
30,0.05667,0.075765,0.050943,68,3.2116131781386754e-07
31,0.058632,0.07094,0.046014,77,3.6366796281864415e-07
32,0.059928,0.074202,0.047724,63,2.975465150334361e-07
33,0.054656,0.076295,0.047588,86,4.0617460782342077e-07
34,0.057474,0.076193,0.048076,64,3.022694755895224e-07
35,0.033711,0.067565,0.056045,85,4.014516472673345e-07
36,0.036118,0.066254,0.057828,99,4.675730950525425e-07
37,0.034419,0.068911,0.057693,79,3.731138839308167e-07
38,0.034432,0.065579,0.05413,96,4.534042133842836e-07
39,0.028634,0.061522,0.052021,114,5.384175033938368e-07
40,0.028334,0.059138,0.054346,111,5.242486217255779e-07
41,0.029531,0.06085,0.054112,114,5.384175033938368e-07
42,0.030517,0.062239,0.053949,106,5.006338189451465e-07
43,0.030498,0.062875,0.05254,97,4.581271739403699e-07
44,0.034029,0.063653,0.0552,104,4.911878978329739e-07
45,0.035139,0.064411,0.054482,99,4.675730950525425e-07
46,0.030362,0.06343,0.050746,105,4.959108583890602e-07
47,0.031379,0.063082,0.053243,99,4.675730950525425e-07
48,0.036423,0.064182,0.055486,105,4.959108583890602e-07
49,0.032324,0.067646,0.053711,82,3.872827655990756e-07
50,0.032507,0.066259,0.051345,97,4.581271739403699e-07
51,0.033094,0.065957,0.052735,90,4.250664500477659e-07
52,0.031764,0.064632,0.052814,84,3.967286867112482e-07
53,0.033029,0.06439,0.054235,100,4.722960556086288e-07
54,0.03225,0.0632,0.05401,104,4.911878978329739e-07
55,0.032224,0.062312,0.055056,110,5.195256611694917e-07
56,0.026652,0.058952,0.051912,112,5.289715822816643e-07
57,0.026672,0.059795,0.049328,128,6.045389511790448e-07
58,0.028334,0.059138,0.054346,111,5.242486217255779e-07
59,0.027713,0.05637,0.056519,108,5.100797400573191e-07
60,0.030397,0.058159,0.056809,109,5.148027006134054e-07
61,0.030059,0.056227,0.058836,85,4.014516472673345e-07
62,0.037287,0.062527,0.056642,116,5.478634245060094e-07
63,0.035455,0.062657,0.056317,114,5.384175033938368e-07
64,0.035952,0.060636,0.057603,123,5.809241483986134e-07
65,0.032819,0.057554,0.058366,104,4.911878978329739e-07
66,0.03186,0.054805,0.058137,92,4.3451237115993847e-07
67,0.032811,0.055647,0.060053,82,3.872827655990756e-07
68,0.034685,0.058566,0.058426,108,5.100797400573191e-07
69,0.033409,0.058546,0.05821,109,5.148027006134054e-07
70,0.033104,0.05938,0.057324,115,5.431404639499231e-07
71,0.030289,0.054761,0.056083,94,4.4395829227211104e-07
72,0.034029,0.063653,0.0552,104,4.911878978329739e-07
73,0.032224,0.062312,0.055056,110,5.195256611694917e-07
74,0.033591,0.061531,0.056308,120,5.667552667303545e-07
75,0.036423,0.064182,0.055486,105,4.959108583890602e-07
76,0.034979,0.05708,0.059608,103,4.864649372768877e-07
77,0.036253,0.058366,0.059468,106,5.006338189451465e-07
78,0.036279,0.059104,0.058584,115,5.431404639499231e-07
79,0.038211,0.058973,0.058808,109,5.148027006134054e-07
80,0.038892,0.06133,0.057576,114,5.384175033938368e-07
81,0.031084,0.060602,0.055673,114,5.384175033938368e-07
82,0.030517,0.062239,0.053949,106,5.006338189451465e-07
83,0.029531,0.06085,0.054112,114,5.384175033938368e-07
84,0.001745,0.055833,0.03875,68,3.2116131781386754e-07
85,-0.00091,0.053551,0.035313,67,3.1643835725778126e-07
86,-0.002257,0.054201,0.039701,82,3.872827655990756e-07
87,-0.000435,0.05351,0.042415,78,3.6839092337473044e-07
88,0.001358,0.052927,0.04377,73,3.44776120594299e-07
89,0.00149,0.054113,0.042018,74,3.494990811503853e-07
90,-0.000365,0.051843,0.044544,78,3.6839092337473044e-07
91,-0.007453,0.04574,0.03879,59,2.78654672809091e-07
92,-0.005753,0.047377,0.041358,84,3.967286867112482e-07
93,-0.006036,0.048601,0.03801,72,3.4005316003821273e-07
94,-0.007393,0.047039,0.035943,59,2.78654672809091e-07
95,-0.005091,0.050832,0.040802,91,4.297894106038522e-07
96,0.000195,0.055136,0.041076,81,3.825598050429893e-07
97,-0.007191,0.045511,0.041899,72,3.4005316003821273e-07
98,-0.006045,0.046487,0.043021,84,3.967286867112482e-07
99,-0.010146,0.045902,0.040936,64,3.022694755895224e-07
100,-0.004336,0.051403,0.037,83,3.9200572615516186e-07
101,-0.005099,0.052944,0.033131,58,2.739317122530047e-07
102,-0.006385,0.049416,0.034943,62,2.9282355447734984e-07
103,-0.001505,0.054208,0.032726,54,2.5503987002865956e-07
104,-0.002744,0.052079,0.043245,84,3.967286867112482e-07
105,-0.003924,0.049243,0.043718,90,4.250664500477659e-07
106,-0.004374,0.04673,0.042836,81,3.825598050429893e-07
107,-0.005246,0.045053,0.043707,74,3.494990811503853e-07
108,0.001747,0.054597,0.040689,77,3.6366796281864415e-07
109,-0.008105,0.044501,0.044903,87,4.1089756837950705e-07
110,0.003645,0.053418,0.041432,68,3.2116131781386754e-07
111,0.004389,0.056245,0.040963,64,3.022694755895224e-07
112,0.054282,0.086604,0.026007,144,6.801063200764255e-07
113,0.052302,0.08739,0.027252,139,6.56491517295994e-07
114,0.052779,0.085148,0.026518,138,6.517685567399078e-07
115,0.054348,0.084935,0.024819,150,7.084440834129432e-07
116,0.054984,0.083524,0.024918,154,7.273359256372883e-07
117,0.055646,0.08263,0.025427,158,7.462277678616334e-07
118,0.056361,0.083146,0.024515,155,7.320588861933746e-07
119,0.053744,0.080799,0.025056,164,7.745655311981512e-07
120,0.05225,0.079894,0.026236,161,7.603966495298924e-07
121,0.053473,0.078419,0.024315,155,7.320588861933746e-07
122,0.054428,0.082569,0.025656,162,7.651196100859786e-07
123,0.055461,0.081702,0.024347,160,7.55673688973806e-07
124,0.056402,0.080435,0.022403,152,7.178900045251157e-07
125,0.057689,0.082496,0.023245,156,7.367818467494609e-07
126,0.055555,0.079495,0.024374,165,7.792884917542375e-07
127,0.051301,0.083475,0.029813,139,6.56491517295994e-07
128,0.049925,0.083607,0.02778,126,5.950930300668722e-07
129,0.050264,0.085582,0.029287,130,6.139848722912174e-07
130,0.052239,0.082801,0.02636,149,7.037211228568568e-07
