,I,J,K
0,12,1,0
1,12,13,2
2,1,12,2
3,13,14,3
4,2,13,3
5,14,15,4
6,3,14,4
7,15,16,5
8,4,15,5
9,16,17,6
10,5,16,6
11,17,18,7
12,6,17,7
13,18,19,8
14,7,18,8
15,19,20,9
16,8,19,9
17,20,21,10
18,9,20,10
19,21,11,11
20,10,21,11
21,22,12,0
22,22,23,13
23,12,22,13
24,23,24,14
25,13,23,14
26,24,25,15
27,14,24,15
28,25,26,16
29,15,25,16
30,26,27,17
31,16,26,17
32,27,28,18
33,17,27,18
34,28,29,19
35,18,28,19
36,29,30,20
37,19,29,20
38,30,31,21
39,20,30,21
40,31,11,11
41,21,31,11
42,32,22,0
43,32,33,23
44,22,32,23
45,33,34,24
46,23,33,24
47,34,35,25
48,24,34,25
49,35,36,26
50,25,35,26
51,36,37,27
52,26,36,27
53,37,38,28
54,27,37,28
55,38,39,29
56,28,38,29
57,39,40,30
58,29,39,30
59,40,41,31
60,30,40,31
61,41,11,11
62,31,41,11
63,42,32,0
64,42,43,33
65,32,42,33
66,43,44,34
67,33,43,34
68,44,45,35
69,34,44,35
70,45,46,36
71,35,45,36
72,46,47,37
73,36,46,37
74,47,48,38
75,37,47,38
76,48,49,39
77,38,48,39
78,49,50,40
79,39,49,40
80,50,51,41
81,40,50,41
82,51,11,11
83,41,51,11
84,52,42,0
85,52,53,43
86,42,52,43
87,53,54,44
88,43,53,44
89,54,55,45
90,44,54,45
91,55,56,46
92,45,55,46
93,56,57,47
94,46,56,47
95,57,58,48
96,47,57,48
97,58,59,49
98,48,58,49
99,59,60,50
100,49,59,50
101,60,61,51
102,50,60,51
103,61,11,11
104,51,61,11
105,62,52,0
106,62,63,53
107,52,62,53
108,63,64,54
109,53,63,54
110,64,65,55
111,54,64,55
112,65,66,56
113,55,65,56
114,66,67,57
115,56,66,57
116,67,68,58
117,57,67,58
118,68,69,59
119,58,68,59
120,69,70,60
121,59,69,60
122,70,71,61
123,60,70,61
124,71,11,11
125,61,71,11
126,72,62,0
127,72,73,63
128,62,72,63
129,73,74,64
130,63,73,64
131,74,75,65
132,64,74,65
133,75,76,66
134,65,75,66
135,76,77,67
136,66,76,67
137,77,78,68
138,67,77,68
139,78,79,69
140,68,78,69
141,79,80,70
142,69,79,70
143,80,81,71
144,70,80,71
145,81,11,11
146,71,81,11
147,82,72,0
148,82,83,73
149,72,82,73
150,83,84,74
151,73,83,74
152,84,85,75
153,74,84,75
154,85,86,76
155,75,85,76
156,86,87,77
157,76,86,77
158,87,88,78
159,77,87,78
160,88,89,79
161,78,88,79
162,89,90,80
163,79,89,80
164,90,91,81
165,80,90,81
166,91,11,11
167,81,91,11
168,92,82,0
169,92,93,83
170,82,92,83
171,93,94,84
172,83,93,84
173,94,95,85
174,84,94,85
175,95,96,86
176,85,95,86
177,96,97,87
178,86,96,87
179,97,98,88
180,87,97,88
181,98,99,89
182,88,98,89
183,99,100,90
184,89,99,90
185,100,101,91
186,90,100,91
187,101,11,11
188,91,101,11
189,102,92,0
190,102,103,93
191,92,102,93
192,103,104,94
193,93,103,94
194,104,105,95
195,94,104,95
196,105,106,96
197,95,105,96
198,106,107,97
199,96,106,97
200,107,108,98
201,97,107,98
202,108,109,99
203,98,108,99
204,109,110,100
205,99,109,100
206,110,111,101
207,100,110,101
208,111,11,11
209,101,111,11
210,112,102,0
211,112,113,103
212,102,112,103
213,113,114,104
214,103,113,104
215,114,115,105
216,104,114,105
217,115,116,106
218,105,115,106
219,116,117,107
220,106,116,107
221,117,118,108
222,107,117,108
223,118,119,109
224,108,118,109
225,119,120,110
226,109,119,110
227,120,121,111
228,110,120,111
229,121,11,11
230,111,121,11
231,122,112,0
232,122,123,113
233,112,122,113
234,123,124,114
235,113,123,114
236,124,125,115
237,114,124,115
238,125,126,116
239,115,125,116
240,126,127,117
241,116,126,117
242,127,128,118
243,117,127,118
244,128,129,119
245,118,128,119
246,129,130,120
247,119,129,120
248,130,131,121
249,120,130,121
250,131,11,11
251,121,131,11
252,132,122,0
253,132,133,123
254,122,132,123
255,133,134,124
256,123,133,124
257,134,135,125
258,124,134,125
259,135,136,126
260,125,135,126
261,136,137,127
262,126,136,127
263,137,138,128
264,127,137,128
265,138,139,129
266,128,138,129
267,139,140,130
268,129,139,130
269,140,141,131
270,130,140,131
271,141,11,11
272,131,141,11
273,142,132,0
274,142,143,133
275,132,142,133
276,143,144,134
277,133,143,134
278,144,145,135
279,134,144,135
280,145,146,136
281,135,145,136
282,146,147,137
283,136,146,137
284,147,148,138
285,137,147,138
286,148,149,139
287,138,148,139
288,149,150,140
289,139,149,140
290,150,151,141
291,140,150,141
292,151,11,11
293,141,151,11
294,152,142,0
295,152,153,143
296,142,152,143
297,153,154,144
298,143,153,144
299,154,155,145
300,144,154,145
301,155,156,146
302,145,155,146
303,156,157,147
304,146,156,147
305,157,158,148
306,147,157,148
307,158,159,149
308,148,158,149
309,159,160,150
310,149,159,150
311,160,161,151
312,150,160,151
313,161,11,11
314,151,161,11
315,162,152,0
316,162,163,153
317,152,162,153
318,163,164,154
319,153,163,154
320,164,165,155
321,154,164,155
322,165,166,156
323,155,165,156
324,166,167,157
325,156,166,157
326,167,168,158
327,157,167,158
328,168,169,159
329,158,168,159
330,169,170,160
331,159,169,160
332,170,171,161
333,160,170,161
334,171,11,11
335,161,171,11
336,172,162,0
337,172,173,163
338,162,172,163
339,173,174,164
340,163,173,164
341,174,175,165
342,164,174,165
343,175,176,166
344,165,175,166
345,176,177,167
346,166,176,167
347,177,178,168
348,167,177,168
349,178,179,169
350,168,178,169
351,179,180,170
352,169,179,170
353,180,181,171
354,170,180,171
355,181,11,11
356,171,181,11
357,182,172,0
358,182,183,173
359,172,182,173
360,183,184,174
361,173,183,174
362,184,185,175
363,174,184,175
364,185,186,176
365,175,185,176
366,186,187,177
367,176,186,177
368,187,188,178
369,177,187,178
370,188,189,179
371,178,188,179
372,189,190,180
373,179,189,180
374,190,191,181
375,180,190,181
376,191,11,11
377,181,191,11
378,192,182,0
379,192,193,183
380,182,192,183
381,193,194,184
382,183,193,184
383,194,195,185
384,184,194,185
385,195,196,186
386,185,195,186
387,196,197,187
388,186,196,187
389,197,198,188
390,187,197,188
391,198,199,189
392,188,198,189
393,199,200,190
394,189,199,190
395,200,201,191
396,190,200,191
397,201,11,11
398,191,201,11
399,202,192,0
400,202,203,193
401,192,202,193
402,203,204,194
403,193,203,194
404,204,205,195
405,194,204,195
406,205,206,196
407,195,205,196
408,206,207,197
409,196,206,197
410,207,208,198
411,197,207,198
412,208,209,199
413,198,208,199
414,209,210,200
415,199,209,200
416,210,211,201
417,200,210,201
418,211,11,11
419,201,211,11
420,212,202,0
421,212,213,203
422,202,212,203
423,213,214,204
424,203,213,204
425,214,215,205
426,204,214,205
427,215,216,206
428,205,215,206
429,216,217,207
430,206,216,207
431,217,218,208
432,207,217,208
433,218,219,209
434,208,218,209
435,219,220,210
436,209,219,210
437,220,221,211
438,210,220,211
439,221,11,11
440,211,221,11
441,222,212,0
442,222,223,213
443,212,222,213
444,223,224,214
445,213,223,214
446,224,225,215
447,214,224,215
448,225,226,216
449,215,225,216
450,226,227,217
451,216,226,217
452,227,228,218
453,217,227,218
454,228,229,219
455,218,228,219
456,229,230,220
457,219,229,220
458,230,231,221
459,220,230,221
460,231,11,11
461,221,231,11
462,232,222,0
463,232,233,223
464,222,232,223
465,233,234,224
466,223,233,224
467,234,235,225
468,224,234,225
469,235,236,226
470,225,235,226
471,236,237,227
472,226,236,227
473,237,238,228
474,227,237,228
475,238,239,229
476,228,238,229
477,239,240,230
478,229,239,230
479,240,241,231
480,230,240,231
481,241,11,11
482,231,241,11
483,242,232,0
484,242,243,233
485,232,242,233
486,243,244,234
487,233,243,234
488,244,245,235
489,234,244,235
490,245,246,236
491,235,245,236
492,246,247,237
493,236,246,237
494,247,248,238
495,237,247,238
496,248,249,239
497,238,248,239
498,249,250,240
499,239,249,240
500,250,251,241
501,240,250,241
502,251,11,11
503,241,251,11
504,252,242,0
505,252,253,243
506,242,252,243
507,253,254,244
508,243,253,244
509,254,255,245
510,244,254,245
511,255,256,246
512,245,255,246
513,256,257,247
514,246,256,247
515,257,258,248
516,247,257,248
517,258,259,249
518,248,258,249
519,259,260,250
520,249,259,250
521,260,261,251
522,250,260,251
523,261,11,11
524,251,261,11
525,262,252,0
526,262,263,253
527,252,262,253
528,263,264,254
529,253,263,254
530,264,265,255
531,254,264,255
532,265,266,256
533,255,265,256
534,266,267,257
535,256,266,257
536,267,268,258
537,257,267,258
538,268,269,259
539,258,268,259
540,269,270,260
541,259,269,260
542,270,271,261
543,260,270,261
544,271,11,11
545,261,271,11
546,272,262,0
547,272,273,263
548,262,272,263
549,273,274,264
550,263,273,264
551,274,275,265
552,264,274,265
553,275,276,266
554,265,275,266
555,276,277,267
556,266,276,267
557,277,278,268
558,267,277,268
559,278,279,269
560,268,278,269
561,279,280,270
562,269,279,270
563,280,281,271
564,270,280,271
565,281,11,11
566,271,281,11
567,282,272,0
568,282,283,273
569,272,282,273
570,283,284,274
571,273,283,274
572,284,285,275
573,274,284,275
574,285,286,276
575,275,285,276
576,286,287,277
577,276,286,277
578,287,288,278
579,277,287,278
580,288,289,279
581,278,288,279
582,289,290,280
583,279,289,280
584,290,291,281
585,280,290,281
586,291,11,11
587,281,291,11
588,292,282,0
589,292,293,283
590,282,292,283
591,293,294,284
592,283,293,284
593,294,295,285
594,284,294,285
595,295,296,286
596,285,295,286
597,296,297,287
598,286,296,287
599,297,298,288
600,287,297,288
601,298,299,289
602,288,298,289
603,299,300,290
604,289,299,290
605,300,301,291
606,290,300,291
607,301,11,11
608,291,301,11
609,302,292,0
610,302,303,293
611,292,302,293
612,303,304,294
613,293,303,294
614,304,305,295
615,294,304,295
616,305,306,296
617,295,305,296
618,306,307,297
619,296,306,297
620,307,308,298
621,297,307,298
622,308,309,299
623,298,308,299
624,309,310,300
625,299,309,300
626,310,311,301
627,300,310,301
628,311,11,11
629,301,311,11
630,312,302,0
631,312,313,303
632,302,312,303
633,313,314,304
634,303,313,304
635,314,315,305
636,304,314,305
637,315,316,306
638,305,315,306
639,316,317,307
640,306,316,307
641,317,318,308
642,307,317,308
643,318,319,309
644,308,318,309
645,319,320,310
646,309,319,310
647,320,321,311
648,310,320,311
649,321,11,11
650,311,321,11
651,322,312,0
652,322,323,313
653,312,322,313
654,323,324,314
655,313,323,314
656,324,325,315
657,314,324,315
658,325,326,316
659,315,325,316
660,326,327,317
661,316,326,317
662,327,328,318
663,317,327,318
664,328,329,319
665,318,328,319
666,329,330,320
667,319,329,320
668,330,331,321
669,320,330,321
670,331,11,11
671,321,331,11
672,332,322,0
673,332,333,323
674,322,332,323
675,333,334,324
676,323,333,324
677,334,335,325
678,324,334,325
679,335,336,326
680,325,335,326
681,336,337,327
682,326,336,327
683,337,338,328
684,327,337,328
685,338,339,329
686,328,338,329
687,339,340,330
688,329,339,330
689,340,341,331
690,330,340,331
691,341,11,11
692,331,341,11
693,342,332,0
694,342,343,333
695,332,342,333
696,343,344,334
697,333,343,334
698,344,345,335
699,334,344,335
700,345,346,336
701,335,345,336
702,346,347,337
703,336,346,337
704,347,348,338
705,337,347,338
706,348,349,339
707,338,348,339
708,349,350,340
709,339,349,340
710,350,351,341
711,340,350,341
712,351,11,11
713,341,351,11
714,352,342,0
715,352,353,343
716,342,352,343
717,353,354,344
718,343,353,344
719,354,355,345
720,344,354,345
721,355,356,346
722,345,355,346
723,356,357,347
724,346,356,347
725,357,358,348
726,347,357,348
727,358,359,349
728,348,358,349
729,359,360,350
730,349,359,350
731,360,361,351
732,350,360,351
733,361,11,11
734,351,361,11
735,1,352,0
736,1,2,353
737,352,1,353
738,2,3,354
739,353,2,354
740,3,4,355
741,354,3,355
742,4,5,356
743,355,4,356
744,5,6,357
745,356,5,357
746,6,7,358
747,357,6,358
748,7,8,359
749,358,7,359
750,8,9,360
751,359,8,360
752,9,10,361
753,360,9,361
754,10,11,11
755,361,10,11
