compound,content,sample
14:00,0.118730331,CA06a
i15:0,0.162598965,CA06a
a15:0,0.080353314,CA06a
15:00,0,CA06a
i16:0,0.014080435,CA06a
16:01,0.101828963,CA06a
16:00,0.568463154,CA06a
i17:0,0.021990158,CA06a
∆17:0,0,CA06a
17:00,0.013192677,CA06a
20H 16:0,0,CA06a
18:02,0.06848993,CA06a
18:1 9cis,0.234064822,CA06a
18:1 9trans,0.171487867,CA06a
18:00,0.202804679,CA06a
∆19:0,0.071414906,CA06a
20:00,0.144469933,CA06a
14:00,0.132257836,CA06bn
i15:0,0.198205568,CA06bn
a15:0,0.140654675,CA06bn
15:00,0,CA06bn
i16:0,0.016637606,CA06bn
16:01,0.074608866,CA06bn
16:00,0.481464377,CA06bn
i17:0,0.015088695,CA06bn
∆17:0,0.006647547,CA06bn
17:00,0.00958624,CA06bn
20H 16:0,0.030213748,CA06bn
18:02,0.074387988,CA06bn
18:1 9cis,0.267274925,CA06bn
18:1 9trans,0.129086684,CA06bn
18:00,0.154033926,CA06bn
∆19:0,0.068862891,CA06bn
20:00,0.025345237,CA06bn
14:00,0.161039222,CA06bt
i15:0,0.171205785,CA06bt
a15:0,0.140454469,CA06bt
15:00,0.037503287,CA06bt
i16:0,0.017090546,CA06bt
16:01,0.131020941,CA06bt
16:00,0.604614613,CA06bt
i17:0,0.013286363,CA06bt
∆17:0,0.009914492,CA06bt
17:00,0.010757393,CA06bt
20H 16:0,0.067075982,CA06bt
18:02,0.102994404,CA06bt
18:1 9cis,0.361308711,CA06bt
18:1 9trans,0.207657511,CA06bt
18:00,0.179604631,CA06bt
∆19:0,0.080372048,CA06bt
20:00,0.024899493,CA06bt
14:00,0,CA43
i15:0,0.008626807,CA43
a15:0,0.007048512,CA43
15:00,0,CA43
i16:0,0.002849111,CA43
16:01,0.004997491,CA43
16:00,0.186405564,CA43
i17:0,0.003497954,CA43
∆17:0,0,CA43
17:00,0.001488947,CA43
20H 16:0,0,CA43
18:02,0,CA43
18:1 9cis,0.033761345,CA43
18:1 9trans,0.019728133,CA43
18:00,0.02290587,CA43
∆19:0,0.016227871,CA43
20:00,0,CA43
14:00,0,CA49
i15:0,0.001411616,CA49
a15:0,0.000340591,CA49
15:00,0,CA49
i16:0,0,CA49
16:01,0,CA49
16:00,0.122919848,CA49
i17:0,0.030310833,CA49
∆17:0,0,CA49
17:00,0.028701913,CA49
20H 16:0,0,CA49
18:02,0,CA49
18:1 9cis,0.029180531,CA49
18:1 9trans,0.028198282,CA49
18:00,0.030248096,CA49
∆19:0,0.023619186,CA49
20:00,0,CA49
