,X,Y,Z,n_points_0.01,corr_dim_0.01
0,0.059594,0.014879,0.010316,235,1.3017508560092056e-06
1,0.060891,0.01523,0.010815,233,1.2906721253197655e-06
2,0.059658,0.016165,0.010619,239,1.3239083173880854e-06
3,0.061135,0.017786,0.010816,243,1.3460657787669655e-06
4,0.061778,0.016603,0.010985,233,1.2906721253197655e-06
5,0.062453,0.017879,0.010777,236,1.3072902213539255e-06
6,0.062859,0.016558,0.010767,231,1.2795933946303255e-06
7,0.063099,0.017302,0.010205,235,1.3017508560092056e-06
8,0.060708,0.016647,0.011026,239,1.3239083173880854e-06
9,0.063616,0.017446,0.010005,240,1.3294476827328056e-06
10,0.063701,0.016478,0.010037,234,1.2962114906644854e-06
11,0.064224,0.017528,0.010166,234,1.2962114906644854e-06
12,0.059932,0.017421,0.011041,243,1.3460657787669655e-06
13,0.063248,0.015494,0.010544,226,1.2518965679067252e-06
14,0.062291,0.015394,0.010814,220,1.218660375838405e-06
15,0.064761,0.016345,0.010015,227,1.2574359332514454e-06
16,0.065292,0.017649,0.010243,217,1.2020422798042451e-06
17,0.057914,0.015471,0.011498,232,1.2851327599750454e-06
18,0.058265,0.01635,0.010843,239,1.3239083173880854e-06
19,0.056897,0.01642,0.011356,236,1.3072902213539255e-06
20,0.058936,0.017075,0.010797,244,1.3516051441116857e-06
21,0.065917,0.016297,0.009962,211,1.168806087735925e-06
22,0.066621,0.01746,0.009856,210,1.1632667223912048e-06
23,0.057958,0.017257,0.011142,247,1.3682232401458456e-06
24,0.058667,0.018137,0.011338,243,1.3460657787669655e-06
25,0.057099,0.017798,0.012204,239,1.3239083173880854e-06
26,0.058761,0.015416,0.010723,234,1.2962114906644854e-06
27,0.058918,0.014669,0.01045,231,1.2795933946303255e-06
28,0.058369,0.014675,0.010904,225,1.2463572025620053e-06
29,0.053563,0.017452,0.016704,207,1.1466486263570449e-06
30,0.053505,0.01836,0.017361,202,1.1189517996334447e-06
31,0.052965,0.017199,0.017589,193,1.0690975115309645e-06
32,0.0471,0.016136,0.019763,164,9.084559165340838e-07
33,0.048876,0.015381,0.020282,150,8.309048017080035e-07
34,0.048473,0.017223,0.019487,163,9.029165511893638e-07
35,0.052166,0.014521,0.017496,184,1.0192432234284842e-06
36,0.05229,0.016774,0.018789,173,9.58310204636564e-07
37,0.050795,0.015909,0.019738,153,8.475228977421636e-07
38,0.053289,0.015665,0.016239,202,1.1189517996334447e-06
39,0.053196,0.016436,0.014955,217,1.2020422798042451e-06
40,0.053483,0.016656,0.016145,207,1.1466486263570449e-06
41,0.054253,0.017332,0.015612,210,1.1632667223912048e-06
42,0.054907,0.017603,0.014576,221,1.2241997411831252e-06
43,0.055211,0.018728,0.015249,212,1.174345453080645e-06
44,0.05391,0.017042,0.014279,220,1.218660375838405e-06
45,0.04601,0.016281,0.019662,163,9.029165511893638e-07
46,0.04585,0.01573,0.020146,159,8.807590898104837e-07
47,0.048047,0.018184,0.018163,177,9.804676660154442e-07
48,0.047104,0.017957,0.018609,179,9.915463967048842e-07
49,0.054427,0.018524,0.016538,203,1.1244911649781648e-06
50,0.046037,0.017292,0.019205,166,9.195346472235239e-07
51,0.053107,0.015011,0.017017,189,1.0469400501520844e-06
52,0.053151,0.015863,0.017597,190,1.0524794154968044e-06
53,0.055752,0.017954,0.013686,237,1.3128295866986454e-06
54,0.053266,0.01656,0.016903,201,1.1134124342887247e-06
55,0.052754,0.01815,0.018068,187,1.0358613194626444e-06
56,0.050109,0.01425,0.018684,158,8.752197244657637e-07
57,0.050447,0.017613,0.019119,160,8.862984551552037e-07
58,0.047038,0.015058,0.019872,160,8.862984551552037e-07
59,0.051501,0.018727,0.01835,174,9.63849569981284e-07
60,0.049985,0.018715,0.018521,172,9.52770839291844e-07
61,0.049148,0.018108,0.018745,166,9.195346472235239e-07
62,0.048445,0.014386,0.019409,165,9.139952818788039e-07
63,0.046207,0.018684,0.018417,178,9.86007031360164e-07
64,0.054291,0.013758,0.011292,207,1.1466486263570449e-06
65,0.054872,0.014032,0.009772,206,1.1411092610123248e-06
66,0.055808,0.014811,0.010111,218,1.207581645148965e-06
67,0.048519,0.013951,0.018215,169,9.36152743257684e-07
68,0.049503,0.012984,0.016664,174,9.63849569981284e-07
69,0.050109,0.01425,0.018684,158,8.752197244657637e-07
70,0.048445,0.014386,0.019409,165,9.139952818788039e-07
71,0.046915,0.013979,0.018904,163,9.029165511893638e-07
72,0.047111,0.013308,0.017181,168,9.306133779129639e-07
