,X,Y,Z,n_points_0.01,corr_dim_0.01
0,0.048272,0.137251,-0.096027,68,7.906306280220104e-08
1,0.048312,0.137252,-0.096014,68,7.906306280220104e-08
2,0.048267,0.1373,-0.096049,68,7.906306280220104e-08
3,0.048267,0.1373,-0.096049,68,7.906306280220104e-08
4,0.04829,0.13727,-0.09605,68,7.906306280220104e-08
5,0.048272,0.137251,-0.096027,68,7.906306280220104e-08
6,0.04829,0.13727,-0.09605,68,7.906306280220104e-08
7,0.048312,0.137252,-0.096014,68,7.906306280220104e-08
8,0.048272,0.137251,-0.096027,68,7.906306280220104e-08
9,0.048312,0.137252,-0.096014,68,7.906306280220104e-08
10,0.04829,0.13727,-0.09605,68,7.906306280220104e-08
11,0.048267,0.1373,-0.096049,68,7.906306280220104e-08
12,0.037945,0.091055,0.066611,47,5.464652870152131e-08
13,0.036946,0.089439,0.070862,47,5.464652870152131e-08
14,0.039773,0.091048,0.068591,55,6.394806550178026e-08
15,0.030816,0.090351,0.06537,30,3.488076300097105e-08
16,0.034675,0.090571,0.061959,39,4.5344991901262366e-08
17,0.030826,0.08871,0.071186,27,3.1392686700873946e-08
18,0.042251,0.090436,0.067831,56,6.511075760181262e-08
19,0.041609,0.092565,0.068272,51,5.9297297101650786e-08
20,0.0411,0.088034,0.070159,47,5.464652870152131e-08
21,0.040182,0.094986,0.06982,41,4.76703761013271e-08
22,0.040341,0.095078,0.06807,43,4.9995760301391835e-08
23,0.039441,0.097964,0.067722,25,2.9067302500809208e-08
24,0.041598,0.09876,0.070563,38,4.4182299801229996e-08
25,0.028273,0.101683,0.082691,60,6.97615260019421e-08
26,0.028143,0.101086,0.085261,56,6.511075760181262e-08
27,0.029313,0.100155,0.082731,60,6.97615260019421e-08
28,0.029108,0.103868,0.085932,71,8.255113910229815e-08
29,0.028093,0.103829,0.082492,64,7.441229440207157e-08
30,0.029485,0.100021,0.082077,58,6.743614180187736e-08
31,0.032335,0.099394,0.083303,59,6.859883390190973e-08
32,0.025981,0.098938,0.08357,51,5.9297297101650786e-08
33,0.029485,0.100021,0.082077,58,6.743614180187736e-08
34,0.030426,0.0995,0.083338,59,6.859883390190973e-08
35,0.025981,0.098938,0.08357,51,5.9297297101650786e-08
36,0.025445,0.101968,0.081884,56,6.511075760181262e-08
37,0.024082,0.104164,0.078468,45,5.2321144501456576e-08
38,0.028093,0.103829,0.082492,64,7.441229440207157e-08
39,0.028273,0.101683,0.082691,60,6.97615260019421e-08
40,0.032335,0.099394,0.083303,59,6.859883390190973e-08
41,0.021571,0.102463,0.083624,52,6.045998920168315e-08
42,0.029313,0.100155,0.082731,60,6.97615260019421e-08
43,0.042759,0.148186,0.090306,79,9.185267590255709e-08
44,0.039408,0.147041,0.092529,100,1.1626921000323683e-07
45,0.041599,0.145986,0.093098,84,9.766613640271894e-08
46,0.033287,0.141125,0.088721,98,1.1394382580317209e-07
47,0.034952,0.139516,0.09191,109,1.2673343890352814e-07
48,0.033398,0.13653,0.089783,90,1.0464228900291315e-07
49,0.035258,0.136033,0.092249,89,1.0347959690288078e-07
50,0.04215,0.133318,0.081868,64,7.441229440207157e-08
51,0.04048,0.132194,0.083319,72,8.371383120233052e-08
52,0.04183,0.130401,0.082111,68,7.906306280220104e-08
53,0.04329,0.131627,0.080909,57,6.627344970184499e-08
54,0.042511,0.129397,0.079574,71,8.255113910229815e-08
55,0.042293,0.132739,0.078993,65,7.557498650210394e-08
56,0.040119,0.134368,0.082565,62,7.208691020200683e-08
57,0.042961,0.127556,0.081498,77,8.952729170249236e-08
58,0.043772,0.126998,0.079041,88,1.0231690480284841e-07
59,0.040772,0.131514,0.074158,69,8.022575490223341e-08
60,0.041,0.127479,0.069628,68,7.906306280220104e-08
61,0.040166,0.13103,0.070267,64,7.441229440207157e-08
62,0.038422,0.140396,0.083893,68,7.906306280220104e-08
63,0.037835,0.138193,0.083818,63,7.32496023020392e-08
64,0.03543,0.139189,0.081881,51,5.9297297101650786e-08
65,0.041229,0.127461,0.072898,75,8.720190750242762e-08
66,0.040924,0.134782,0.080342,63,7.32496023020392e-08
67,0.035508,0.132995,0.076274,57,6.627344970184499e-08
68,0.036701,0.131861,0.073344,52,6.045998920168315e-08
69,0.038084,0.132972,0.079448,76,8.836459960245999e-08
70,0.035321,0.135491,0.081232,62,7.208691020200683e-08
71,0.037906,0.135593,0.083628,69,8.022575490223341e-08
72,0.042418,0.126418,0.07625,83,9.650344430268657e-08
73,0.040477,0.13015,0.077542,80,9.301536800258946e-08
74,0.038707,0.132849,0.071661,60,6.97615260019421e-08
75,0.035923,0.13305,0.07169,50,5.8134605001618416e-08
76,0.036249,0.135831,0.072578,49,5.6971912901586045e-08
77,0.034314,0.13332,0.072977,43,4.9995760301391835e-08
78,0.038987,0.128226,0.074618,75,8.720190750242762e-08
79,0.037442,0.134526,0.070715,57,6.627344970184499e-08
80,0.03924,0.133599,0.084738,74,8.603921540239525e-08
81,0.041142,0.130349,0.084534,69,8.022575490223341e-08
82,0.034521,0.137298,0.077551,46,5.348383660148894e-08
83,0.034619,0.139798,0.095382,101,1.174319021032692e-07
84,0.034949,0.137805,0.094137,89,1.0347959690288078e-07
85,0.035843,0.140624,0.093825,107,1.244080547034634e-07
86,0.034213,0.13623,0.073857,37,4.3019607701197625e-08
87,0.040764,0.124064,0.072058,66,7.673767860213631e-08
88,0.03819,0.124978,0.074436,66,7.673767860213631e-08
89,0.03899,0.121987,0.073244,54,6.278537340174789e-08
90,0.043241,0.144348,0.094588,67,7.790037070216868e-08
91,0.044623,0.145183,0.091183,59,6.859883390190973e-08
92,0.043727,0.14227,0.092552,63,7.32496023020392e-08
93,0.042702,0.146705,0.082101,82,9.53407522026542e-08
94,0.042296,0.14668,0.084449,85,9.88288285027513e-08
95,0.039819,0.14505,0.083459,90,1.0464228900291315e-07
96,0.037865,0.139847,0.095298,89,1.0347959690288078e-07
97,0.038771,0.141877,0.094364,97,1.1278113370313972e-07
98,0.038258,0.140095,0.092473,104,1.209199784033663e-07
99,0.040283,0.141359,0.096639,74,8.603921540239525e-08
100,0.0375,0.139273,0.097787,73,8.487652330236289e-08
101,0.039774,0.141483,0.099955,55,6.394806550178026e-08
102,0.036461,0.140951,0.100099,59,6.859883390190973e-08
103,0.038037,0.141024,0.089277,103,1.1975728630333394e-07
104,0.042154,0.124739,0.079523,93,1.0813036530301025e-07
105,0.038889,0.121953,0.077004,66,7.673767860213631e-08
106,0.038393,0.126718,0.074027,69,8.022575490223341e-08
107,0.043451,0.145157,0.086588,75,8.720190750242762e-08
108,0.044309,0.142084,0.088987,60,6.97615260019421e-08
109,0.041729,0.147574,0.085976,87,1.0115421270281604e-07
110,0.041166,0.140784,0.085764,80,9.301536800258946e-08
111,0.044244,0.142696,0.080344,65,7.557498650210394e-08
112,0.046958,0.145659,0.082272,57,6.627344970184499e-08
113,0.044338,0.145524,0.081824,72,8.371383120233052e-08
114,0.040322,0.145075,0.095427,78,9.068998380252473e-08
