,I,J,K
0,0,1,2
1,1,3,4
2,2,1,4
3,1,5,3
4,1,6,7
5,6,0,8
6,7,5,1
7,7,6,8
8,9,7,8
9,6,1,0
10,10,5,7
11,10,11,5
12,5,11,12
13,5,12,3
14,13,14,2
15,13,2,15
16,8,0,16
17,3,12,15
18,2,4,15
19,2,14,0
20,4,3,15
21,17,18,19
22,20,21,22
23,20,23,21
24,23,24,25
25,26,27,28
26,29,18,17
27,28,27,30
28,31,17,32
29,30,27,33
30,17,31,33
31,34,33,35
32,27,35,33
33,31,30,33
34,36,37,38
35,24,39,40
36,22,21,41
37,24,30,42
38,43,42,30
39,43,30,44
40,31,32,44
41,44,30,31
42,42,43,45
43,24,42,25
44,45,25,42
45,46,47,48
46,23,20,24
47,44,32,47
48,48,47,32
49,30,40,28
50,24,40,30
51,20,39,24
52,18,49,19
53,33,34,17
54,39,26,28
55,50,51,49
56,52,53,54
57,51,55,48
58,49,51,56
59,38,49,18
60,19,56,17
61,26,39,57
62,18,36,38
63,39,20,57
64,46,55,53
65,54,53,55
66,51,54,55
67,46,48,55
68,51,48,56
69,39,28,40
70,17,34,29
71,17,56,32
72,54,51,50
73,56,19,49
74,32,56,48
75,58,59,60
76,61,62,58
77,63,61,58
78,61,64,62
79,65,66,67
80,68,61,63
81,65,69,66
82,70,66,69
83,66,71,67
84,72,70,69
85,71,66,70
86,73,74,75
87,76,77,78
88,79,76,78
89,80,81,79
90,73,68,74
91,75,72,82
92,68,83,61
93,68,63,74
94,84,85,86
95,78,64,79
96,87,84,86
97,86,77,87
98,64,78,77
99,59,77,86
100,59,86,88
101,59,58,62
102,62,77,59
103,86,85,89
104,60,59,88
105,62,64,77
106,90,86,89
107,89,91,90
108,88,86,90
109,70,72,75
110,89,92,91
111,81,93,94
112,94,95,81
113,83,73,96
114,80,93,81
115,93,96,94
116,96,73,82
117,83,96,93
118,96,82,72
119,69,95,96
120,96,72,69
121,95,69,97
122,93,80,83
123,94,96,95
124,69,65,97
125,64,83,80
126,64,80,79
127,83,68,73
128,83,64,61
129,73,75,82
130,98,99,100
131,101,102,103
132,104,105,106
133,98,102,99
134,102,107,99
135,102,108,107
136,109,110,111
137,110,112,113
138,111,110,114
139,108,114,113
140,115,116,117
141,118,111,114
142,119,120,121
143,113,114,110
144,117,121,115
145,117,109,111
146,111,121,117
147,122,118,123
148,121,120,115
149,102,101,108
150,122,121,111
151,124,125,106
152,126,109,117
153,122,119,121
154,108,127,128
155,126,117,116
156,115,120,129
157,116,130,126
158,123,131,132
159,120,104,129
160,118,122,111
161,127,108,113
162,99,128,127
163,106,125,104
164,118,114,101
165,110,109,112
166,106,132,124
167,99,133,100
168,108,99,107
169,119,122,105
170,120,119,104
171,134,124,135
172,108,128,99
173,101,103,131
174,105,122,123
175,130,116,136
176,127,133,99
177,104,119,105
178,137,132,131
179,124,132,138
180,106,123,132
181,123,106,105
182,138,135,124
183,108,101,114
184,123,118,131
185,101,131,118
186,137,131,103
187,139,140,141
188,142,143,144
189,145,146,139
190,147,148,149
191,150,151,152
192,140,153,154
193,153,155,154
194,156,157,158
195,159,149,148
196,160,159,161
197,141,162,139
198,160,161,157
199,160,163,164
200,143,142,165
201,144,143,166
202,144,166,167
203,162,168,169
204,166,170,167
205,160,164,159
206,171,172,173
207,162,169,167
208,145,174,175
209,169,176,167
210,167,176,144
211,177,146,178
212,169,179,176
213,158,180,179
214,166,150,152
215,181,177,178
216,176,179,180
217,173,172,181
218,178,146,182
219,163,160,157
220,183,184,185
221,181,178,173
222,174,145,139
223,186,150,187
224,140,177,188
225,171,173,189
226,153,140,188
227,189,178,182
228,156,179,169
229,165,190,187
230,189,173,178
231,158,179,156
232,148,158,159
233,165,187,143
234,187,150,143
235,162,167,175
236,146,191,182
237,170,152,145
238,172,171,192
239,184,156,169
240,143,150,166
241,152,170,166
242,168,141,193
243,184,183,157
244,184,169,168
245,151,150,186
246,168,162,141
247,184,193,185
248,177,140,146
249,168,193,184
250,182,152,151
251,152,191,145
252,152,182,191
253,159,158,161
254,157,156,184
255,155,193,141
256,140,154,141
257,191,146,145
258,170,175,167
259,139,146,140
260,155,141,154
261,170,145,175
262,174,162,175
263,139,162,174
264,155,185,193
265,158,157,161
266,194,195,196
267,197,195,194
268,198,199,200
269,196,195,201
270,202,203,204
271,205,206,207
272,208,209,210
273,211,212,213
274,214,215,216
275,202,214,216
276,217,218,219
277,202,220,203
278,204,203,221
279,206,197,222
280,201,223,196
281,224,194,196
282,210,225,208
283,226,227,228
284,229,223,201
285,196,223,224
286,205,207,230
287,222,219,231
288,218,217,232
289,220,202,233
290,225,204,208
291,222,197,234
292,204,225,235
293,211,232,212
294,211,199,232
295,198,218,232
296,212,209,213
297,223,229,228
298,197,194,234
299,236,237,198
300,236,198,200
301,209,212,238
302,228,239,223
303,198,232,199
304,228,229,226
305,221,208,204
306,240,221,241
307,234,194,242
308,232,217,212
309,224,223,215
310,203,241,221
311,214,202,235
312,208,240,209
313,243,233,202
314,202,204,235
315,214,235,242
316,206,231,207
317,244,245,246
318,224,215,214
319,231,219,218
320,217,242,247
321,194,224,214
322,210,247,225
323,235,225,247
324,219,222,242
325,200,248,236
326,248,249,250
327,236,250,237
328,219,242,217
329,250,236,248
330,235,247,242
331,242,194,214
332,234,242,222
333,230,231,251
334,208,221,240
335,231,230,207
336,247,210,238
337,215,244,216
338,246,216,244
339,239,228,245
340,231,206,222
341,244,215,239
342,231,218,251
343,251,198,237
344,218,198,251
345,244,239,245
346,209,238,210
347,223,239,215
348,246,243,202
349,216,246,202
350,247,238,217
351,238,212,217
352,252,253,254
353,255,256,257
354,258,259,260
355,261,262,263
356,264,265,266
357,254,253,267
358,268,269,270
359,252,256,255
360,260,271,272
361,273,274,275
362,276,258,257
363,275,271,277
364,253,252,255
365,278,270,279
366,273,275,277
367,259,271,260
368,253,260,272
369,278,280,264
370,281,268,270
371,282,283,277
372,284,276,257
373,266,270,278
374,280,278,279
375,281,270,262
376,285,286,252
377,266,278,264
378,277,271,287
379,288,269,268
380,289,256,286
381,287,282,277
382,286,290,291
383,284,289,288
384,262,266,263
385,269,289,291
386,267,292,293
387,294,295,272
388,286,285,290
389,272,271,275
390,296,294,275
391,297,285,252
392,269,288,289
393,261,298,262
394,258,299,257
395,273,277,283
396,262,270,266
397,255,299,253
398,257,256,284
399,262,300,281
400,299,255,257
401,263,265,301
402,267,272,292
403,260,253,299
404,294,272,275
405,301,302,303
406,300,262,298
407,284,288,276
408,267,253,272
409,256,289,284
410,260,299,258
411,263,304,261
412,269,279,270
413,269,291,279
414,289,286,291
415,292,272,295
416,279,291,290
417,293,254,267
418,290,305,306
419,306,279,290
420,286,256,252
421,307,308,276
422,308,309,276
423,288,307,276
424,268,307,288
425,259,258,276
426,305,290,285
427,309,310,259
428,309,259,276
429,311,271,310
430,311,287,271
431,274,273,283
432,305,285,297
433,265,263,266
434,271,259,310
435,274,296,275
436,254,297,252
437,301,303,263
438,263,303,304
439,312,313,314
440,315,316,317
441,318,319,320
442,321,322,323
443,320,319,324
444,325,326,327
445,318,328,319
446,329,330,331
447,332,333,313
448,323,334,335
449,336,337,329
450,329,325,338
451,322,334,323
452,339,340,321
453,341,342,343
454,344,341,343
455,345,346,347
456,334,348,335
457,343,332,312
458,349,338,327
459,332,313,312
460,350,331,330
461,351,341,344
462,352,351,353
463,354,355,356
464,348,345,357
465,358,332,343
466,324,358,320
467,352,353,359
468,356,360,361
469,319,328,360
470,330,362,350
471,330,329,359
472,363,364,340
473,329,315,336
474,347,322,340
475,312,365,343
476,345,348,346
477,366,367,368
478,347,340,364
479,363,351,364
480,331,316,315
481,354,356,367
482,344,343,365
483,319,360,356
484,369,340,370
485,350,362,371
486,364,344,365
487,366,368,372
488,371,362,373
489,374,368,367
490,364,365,347
491,346,348,334
492,341,349,358
493,337,326,325
494,355,375,356
495,338,359,329
496,324,376,358
497,322,321,340
498,373,362,369
499,322,346,334
500,331,377,316
501,332,378,333
502,332,379,378
503,339,370,340
504,373,380,381
505,367,356,374
506,320,349,327
507,382,316,377
508,347,365,314
509,365,312,314
510,351,352,341
511,375,319,356
512,349,320,358
513,344,364,351
514,330,359,362
515,315,329,331
516,345,314,357
517,358,343,342
518,383,323,335
519,327,338,325
520,373,369,380
521,338,352,359
522,369,362,359
523,380,370,381
524,363,369,359
525,380,369,370
526,359,353,363
527,314,345,347
528,383,335,348
529,349,341,338
530,326,337,336
531,379,332,376
532,379,375,355
533,329,337,325
534,324,319,375
535,341,352,338
536,346,322,347
537,375,376,324
538,354,379,355
539,377,331,350
540,358,342,341
541,313,357,314
542,374,356,361
543,327,318,320
544,363,340,369
545,379,376,375
546,363,353,351
547,371,377,350
548,358,376,332
549,384,385,386
550,387,388,389
551,390,391,392
552,391,390,388
553,393,389,394
554,389,388,394
555,391,387,392
556,395,396,394
557,387,391,388
558,397,398,390
559,399,400,401
560,398,402,403
561,404,401,405
562,406,389,393
563,395,394,388
564,385,384,407
565,398,403,408
566,398,408,390
567,409,404,405
568,386,410,411
569,412,413,414
570,415,416,417
571,418,419,420
572,420,421,422
573,423,424,425
574,399,404,426
575,387,389,427
576,404,399,401
577,428,429,424
578,430,425,409
579,431,401,410
580,419,423,432
581,397,402,398
582,418,423,419
583,432,423,416
584,423,425,416
585,385,433,386
586,390,395,388
587,434,390,408
588,416,425,430
589,390,434,395
590,397,390,392
591,424,429,426
592,431,405,401
593,435,412,414
594,421,420,419
595,413,417,414
596,417,413,415
597,427,389,436
598,406,436,389
599,409,405,417
600,417,416,430
601,411,410,400
602,435,414,417
603,437,433,438
604,431,435,417
605,439,440,441
606,410,401,400
607,404,409,425
608,404,425,426
609,417,430,409
610,405,431,417
611,442,441,443
612,443,444,442
613,445,446,427
614,440,439,447
615,440,443,441
616,393,448,406
617,444,449,442
618,445,442,449
619,446,445,449
620,450,451,452
621,453,454,449
622,452,438,450
623,438,433,385
624,454,455,449
625,454,453,451
626,435,456,412
627,440,444,443
