,X,Y,Z,n_points_0.01,corr_dim_0.01
0,0.031683,0.049724,-0.007144,167,8.812536742209702e-07
1,0.030707,0.048176,-0.008517,182,9.604081958575844e-07
2,0.029566,0.048532,-0.007508,174,9.181924509847234e-07
3,0.029749,0.047041,-0.008385,179,9.445772915302614e-07
4,0.029779,0.047596,-0.007703,172,9.076385147665082e-07
5,0.03072,0.046552,-0.009122,182,9.604081958575844e-07
6,0.032173,0.048749,-0.008173,170,8.97084578548293e-07
7,0.032536,0.047535,-0.009178,176,9.287463872029386e-07
8,0.033879,0.049036,-0.007529,169,8.918076104391854e-07
9,0.034123,0.047967,-0.008932,171,9.023615466574006e-07
10,0.031781,0.046137,-0.01047,174,9.181924509847234e-07
11,0.030144,0.045703,-0.010507,181,9.551312277484767e-07
12,0.029064,0.045944,-0.009108,180,9.49854259639369e-07
13,0.027519,0.048412,-0.008619,177,9.340233553120462e-07
14,0.029717,0.050189,-0.008173,170,8.97084578548293e-07
15,0.028652,0.046953,-0.007577,178,9.393003234211538e-07
16,0.033353,0.050328,-0.006791,160,8.443148974572169e-07
17,0.006464,0.047219,-0.008952,115,6.068513325473746e-07
18,0.008903,0.047479,-0.01035,119,6.27959204983805e-07
19,0.007064,0.048063,-0.010594,116,6.121283006564823e-07
20,0.004206,0.047414,-0.003781,124,6.543440455293431e-07
21,0.003906,0.050818,-0.003007,118,6.226822368746975e-07
22,0.005909,0.048765,-0.001792,153,8.073761206934637e-07
23,0.002378,0.049067,-0.005523,109,5.75189523892729e-07
24,0.00221,0.046575,-0.005487,102,5.382507471289758e-07
25,0.001197,0.047681,-0.006499,102,5.382507471289758e-07
26,0.005207,0.044695,-0.004052,127,6.70174949856666e-07
27,0.005583,0.044282,-0.005762,128,6.754519179657735e-07
28,0.003905,0.044741,-0.005493,103,5.435277152380834e-07
29,0.008866,0.046428,-0.008837,143,7.546064396023876e-07
30,0.002856,0.045908,-0.007065,102,5.382507471289758e-07
31,0.003913,0.047074,-0.008226,117,6.174052687655898e-07
32,0.003414,0.048464,-0.009667,123,6.490670774202356e-07
33,0.005791,0.045724,-0.00717,125,6.596210136384508e-07
34,0.008585,0.044766,-0.007467,150,7.915452163661409e-07
35,0.007069,0.044433,-0.006397,142,7.493294714932801e-07
36,0.010886,0.047036,-0.011076,108,5.699125557836215e-07
37,0.011543,0.046893,-0.012351,99,5.22419842801653e-07
38,0.009973,0.04736,-0.01298,96,5.065889384743301e-07
39,0.003746,0.04564,-0.004732,108,5.699125557836215e-07
40,0.002677,0.04522,-0.00557,95,5.013119703652226e-07
41,0.005827,0.051191,-0.001155,148,7.809912801479257e-07
42,0.001283,0.046795,-0.006828,100,5.276968109107605e-07
43,0.000523,0.04675,-0.007919,97,5.118659065834378e-07
44,0.000934,0.047507,-0.009245,111,5.857434601109442e-07
45,-0.00013,0.047645,-0.007139,104,5.48804683347191e-07
46,0.001469,0.050416,-0.012062,119,6.27959204983805e-07
47,0.001063,0.049295,-0.010853,117,6.174052687655898e-07
48,0.002988,0.049639,-0.011329,122,6.437901093111279e-07
49,0.00711,0.048566,-0.012306,119,6.27959204983805e-07
50,0.006069,0.049678,-0.014057,112,5.910204282200519e-07
51,0.004746,0.04982,-0.012477,122,6.437901093111279e-07
52,0.00198,0.052101,-0.015475,111,5.857434601109442e-07
53,0.001512,0.05141,-0.013492,113,5.962973963291594e-07
54,0.003999,0.05104,-0.014275,113,5.962973963291594e-07
55,0.002866,0.050633,-0.012646,123,6.490670774202356e-07
56,0.00526,0.048627,-0.010819,124,6.543440455293431e-07
57,0.004802,0.045795,-0.003627,128,6.754519179657735e-07
58,0.027201,0.041634,-0.009078,151,7.968221844752485e-07
59,0.026909,0.043714,-0.008618,170,8.97084578548293e-07
60,0.026727,0.043006,-0.010502,174,9.181924509847234e-07
61,0.026536,0.040546,-0.00751,139,7.334985671659572e-07
62,0.026821,0.04258,-0.007377,156,8.232070250207865e-07
63,0.02625,0.040299,-0.009277,141,7.440525033841724e-07
64,0.025259,0.041789,-0.006033,140,7.387755352750648e-07
65,0.017838,0.040266,-0.008742,137,7.22944630947742e-07
66,0.018807,0.040289,-0.010562,144,7.598834077114953e-07
67,0.016664,0.041267,-0.011074,144,7.598834077114953e-07
68,0.025183,0.039919,-0.008574,138,7.282215990568496e-07
69,0.020097,0.039743,-0.009028,130,6.860058541839887e-07
70,0.021041,0.040363,-0.011554,147,7.75714312038818e-07
71,0.018656,0.041044,-0.012288,158,8.337609612390017e-07
72,0.021742,0.039537,-0.009518,131,6.912828222930964e-07
73,0.023749,0.039653,-0.008779,145,7.651603758206028e-07
74,0.024775,0.03994,-0.00997,148,7.809912801479257e-07
75,0.023006,0.039603,-0.010301,139,7.334985671659572e-07
76,0.022595,0.043358,-0.007068,165,8.70699738002755e-07
77,0.025126,0.044415,-0.007728,185,9.762391001849071e-07
78,0.02408,0.042929,-0.006817,162,8.548688336754321e-07
79,0.023187,0.041993,-0.006244,144,7.598834077114953e-07
80,0.023684,0.040719,-0.005811,129,6.807288860748812e-07
81,0.021501,0.040664,-0.005477,125,6.596210136384508e-07
82,0.022709,0.039596,-0.009153,136,7.176676628386344e-07
83,0.024441,0.039869,-0.007166,127,6.70174949856666e-07
84,0.027519,0.048412,-0.008619,177,9.340233553120462e-07
85,0.028652,0.046953,-0.007577,178,9.393003234211538e-07
86,0.027417,0.045494,-0.008179,178,9.393003234211538e-07
